time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
8.267584214477213e-008	1.298670e-004	1.044834e-004
1.653516842895443e-007	2.597338e-004	1.949874e-004
2.480275264343164e-007	3.896006e-004	2.715120e-004
3.307033685790885e-007	5.194672e-004	3.340571e-004
4.133792107238607e-007	6.493337e-004	3.826229e-004
4.960550528686328e-007	7.792001e-004	4.172093e-004
5.787308950134047e-007	9.090664e-004	4.378162e-004
7.927115407659031e-007	1.245183e-003	4.862295e-004
1.496426168808899e-006	2.350546e-003	5.424562e-004
7.046627899343121e-006	1.109130e-002	6.013964e-004
1.259682962987734e-005	1.979233e-002	6.739527e-004
1.814703136041157e-005	2.845363e-002	7.601250e-004
2.369723309094579e-005	3.707520e-002	8.599132e-004
2.924743482148001e-005	4.565704e-002	9.733175e-004
3.479763655201424e-005	5.419915e-002	1.100338e-003
4.034783828254845e-005	6.270154e-002	1.240974e-003
5.206658828254846e-005	8.033496e-002	1.635325e-003
5.987908828254847e-005	9.185452e-002	1.971969e-003
6.769158828254848e-005	1.031528e-001	2.379050e-003
7.550408828254848e-005	1.142026e-001	2.866559e-003
8.331658828254849e-005	1.249772e-001	3.444048e-003
9.112908828254850e-005	1.354508e-001	4.119932e-003
9.894158828254850e-005	1.455980e-001	4.900707e-003
1.067540882825485e-004	1.553945e-001	5.790136e-003
1.145665882825485e-004	1.648167e-001	6.788502e-003
1.262853382825485e-004	1.781986e-001	8.480830e-003
1.380040882825485e-004	1.906148e-001	1.037730e-002
1.441424811396914e-004	1.967301e-001	1.146525e-002
1.502808739968343e-004	2.025326e-001	1.255558e-002
1.564192668539771e-004	2.080224e-001	1.364832e-002
1.625576597111200e-004	2.131993e-001	1.474345e-002
1.686960525682629e-004	2.180634e-001	1.584098e-002
1.748344454254057e-004	2.226147e-001	1.694090e-002
1.809728382825486e-004	2.268532e-001	1.804322e-002
1.887853382825486e-004	2.317557e-001	1.939283e-002
1.965978382825486e-004	2.360779e-001	2.059817e-002
2.044103382825486e-004	2.398200e-001	2.165925e-002
2.122228382825486e-004	2.429818e-001	2.257606e-002
2.200353382825486e-004	2.455634e-001	2.334861e-002
2.278478382825486e-004	2.475648e-001	2.397689e-002
2.356603382825486e-004	2.489860e-001	2.446090e-002
2.473790882825486e-004	2.499661e-001	2.476119e-002
2.590978382825486e-004	2.495916e-001	2.461560e-002
2.708165882825487e-004	2.478646e-001	2.402867e-002
2.825353382825487e-004	2.447944e-001	2.302319e-002
2.942540882825487e-004	2.403977e-001	2.163964e-002
3.009505168539772e-004	2.372801e-001	2.066164e-002
3.076469454254058e-004	2.337603e-001	1.962940e-002
