time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.806743076187864e-008	8.817644e-004	8.269299e-004
5.613486152375728e-008	1.763529e-003	1.599219e-003
8.420229228563591e-008	2.645293e-003	2.316868e-003
1.122697230475146e-007	3.527057e-003	2.979875e-003
1.403371538093932e-007	4.408821e-003	3.588243e-003
1.684045845712718e-007	5.290585e-003	4.141969e-003
1.964720153331504e-007	6.172349e-003	4.641055e-003
2.824929239064858e-007	8.874772e-003	5.981201e-003
4.057459293512758e-007	1.274687e-002	7.414481e-003
5.590683751147096e-007	1.756361e-002	8.641841e-003
7.731100981276877e-007	2.428787e-002	9.702916e-003
1.052627276496340e-006	3.306902e-002	1.047738e-002
1.459058736177077e-006	4.583704e-002	1.106663e-002
2.051933790243806e-006	6.446162e-002	1.161680e-002
3.055318403552583e-006	9.597977e-002	1.273814e-002
4.954957730079473e-006	1.556394e-001	1.773740e-002
7.947990660067902e-006	2.495897e-001	3.777087e-002
1.123485420257610e-005	3.526603e-001	8.143322e-002
1.455943487085054e-005	4.567604e-001	1.475085e-001
1.846568487085054e-005	5.788159e-001	2.415693e-001
2.237193487085054e-005	7.005228e-001	3.439219e-001
2.627818487085054e-005	8.218077e-001	4.507922e-001
3.799693487085054e-005	1.182401e+000	7.828388e-001
4.580943487085055e-005	1.420722e+000	1.009404e+000
5.362193487085056e-005	1.654249e+000	1.232472e+000
6.143443487085057e-005	1.882980e+000	1.452042e+000
6.924693487085058e-005	2.106916e+000	1.668115e+000
7.705943487085059e-005	2.326057e+000	1.880690e+000
8.487193487085061e-005	2.540404e+000	2.089768e+000
9.268443487085059e-005	2.749955e+000	2.295348e+000
1.066353277279935e-004	3.110491e+000	2.649071e+000
1.205862205851363e-004	3.441460e+000	2.974044e+000
1.345371134422792e-004	3.742863e+000	3.270265e+000
1.484880062994221e-004	4.014700e+000	3.537736e+000
1.624388991565650e-004	4.256970e+000	3.776455e+000
1.763897920137078e-004	4.469674e+000	3.986423e+000
1.903406848708507e-004	4.652812e+000	4.167641e+000
2.143362205851364e-004	4.871437e+000	4.383514e+000
2.383317562994222e-004	4.980682e+000	4.491413e+000
2.623272920137079e-004	4.980547e+000	4.491339e+000
2.863228277279937e-004	4.871031e+000	4.383291e+000
3.103183634422794e-004	4.652135e+000	4.167269e+000
3.343138991565651e-004	4.323859e+000	3.843274e+000
3.583094348708508e-004	3.886202e+000	3.411305e+000
3.694701491565651e-004	3.652870e+000	3.181031e+000
3.806308634422795e-004	3.404844e+000	2.937026e+000
3.917915777279937e-004	3.142123e+000	2.679290e+000
4.029522920137080e-004	2.864709e+000	2.407822e+000
4.141130062994223e-004	2.572600e+000	2.122623e+000
4.252737205851366e-004	2.265798e+000	1.823693e+000
4.364344348708509e-004	1.944302e+000	1.511031e+000
4.414567562994224e-004	1.797620e+000	1.368642e+000
4.464790777279938e-004	1.649522e+000	1.226052e+000
4.515013991565652e-004	1.500006e+000	1.083260e+000
4.565237205851366e-004	1.349073e+000	9.402664e-001
4.615460420137081e-004	1.196724e+000	7.970711e-001
4.665683634422795e-004	1.042957e+000	6.536741e-001
4.715906848708509e-004	8.877729e-001	5.100754e-001
4.754969348708509e-004	7.667491e-001	4.014247e-001
4.794031848708509e-004	6.452634e-001	2.958928e-001
4.833094348708509e-004	5.233890e-001	1.960679e-001
4.872156848708509e-004	4.011993e-001	1.074046e-001
4.911219348708509e-004	2.787680e-001	4.010764e-002
4.950281848708510e-004	1.561688e-001	2.351362e-003
4.985218521915005e-004	4.643672e-002	-9.511963e-003
5.007266447568554e-004	-2.282814e-002	-1.073614e-002
5.028251660665646e-004	-8.875055e-002	-1.054716e-002
5.106376660665646e-004	-3.339434e-001	-9.298269e-003
5.145439160665646e-004	-4.562750e-001	-8.784198e-003
5.223564160665646e-004	-7.000400e-001	-7.963465e-003
5.301689160665646e-004	-9.421187e-001	-7.325306e-003
5.418876660665647e-004	-1.300800e+000	-6.572873e-003
5.502582017808504e-004	-1.554452e+000	-6.153648e-003
5.586287374951361e-004	-1.802140e+000	-5.762773e-003
5.669992732094218e-004	-2.043867e+000	-5.400247e-003
5.753698089237076e-004	-2.279631e+000	-5.066071e-003
5.837403446379933e-004	-2.509433e+000	-4.760245e-003
5.921108803522790e-004	-2.733272e+000	-4.482768e-003
6.004814160665647e-004	-2.951149e+000	-4.233641e-003
6.166644517808504e-004	-3.353271e+000	-3.763338e-003
6.328474874951361e-004	-3.712773e+000	-3.305352e-003
6.490305232094220e-004	-4.029653e+000	-2.859682e-003
6.652135589237077e-004	-4.303911e+000	-2.426328e-003
6.813965946379934e-004	-4.535548e+000	-2.005291e-003
6.975796303522791e-004	-4.724563e+000	-1.596571e-003
7.137626660665648e-004	-4.870957e+000	-1.200167e-003
7.355260589237077e-004	-4.973421e+000	-6.664531e-004
7.572894517808505e-004	-4.987279e+000	-1.265698e-004
7.790528446379935e-004	-4.912531e+000	4.194835e-004
8.008162374951364e-004	-4.749177e+000	9.717066e-004
8.225796303522792e-004	-4.497217e+000	1.530100e-003
8.443430232094221e-004	-4.156650e+000	2.094663e-003
8.661064160665649e-004	-3.727478e+000	2.665395e-003
8.767090946379936e-004	-3.494407e+000	2.946816e-003
8.873117732094221e-004	-3.248723e+000	3.249472e-003
8.979144517808507e-004	-2.990427e+000	3.573365e-003
9.085171303522793e-004	-2.719519e+000	3.918494e-003
9.191198089237079e-004	-2.435998e+000	4.284859e-003
9.297224874951365e-004	-2.139866e+000	4.672460e-003
9.403251660665650e-004	-1.831121e+000	5.081298e-003
9.453474874951364e-004	-1.683037e+000	5.289458e-003
9.503698089237079e-004	-1.533653e+000	5.524603e-003
9.553921303522793e-004	-1.382969e+000	5.786731e-003
9.604144517808507e-004	-1.230985e+000	6.075844e-003
9.654367732094222e-004	-1.077700e+000	6.391941e-003
9.704590946379936e-004	-9.231155e-001	6.735021e-003
9.754814160665650e-004	-7.672309e-001	7.105086e-003
9.832939160665649e-004	-5.238739e-001	7.832044e-003
9.872001660665649e-004	-4.016853e-001	8.276594e-003
9.911064160665649e-004	-2.792548e-001	8.800623e-003
9.950126660665650e-004	-1.566561e-001	9.456614e-003
9.989189160665650e-004	-3.396299e-002	1.054624e-002
1.002825166066565e-003	8.875055e-002	1.440842e-002
1.006731416066565e-003	2.114106e-001	2.949397e-002
1.010093649434590e-003	3.168888e-001	6.433007e-002
1.013665880662918e-003	4.287989e-001	1.286751e-001
1.017572130662918e-003	5.509239e-001	2.191891e-001
1.021478380662918e-003	6.727169e-001	3.199751e-001
1.025384630662918e-003	7.941048e-001	4.260252e-001
1.033197130662918e-003	1.035373e+000	6.457061e-001
1.039335523520061e-003	1.223898e+000	8.229001e-001
1.045473916377204e-003	1.409922e+000	9.987913e-001
1.051612309234347e-003	1.593445e+000	1.173380e+000
1.057750702091490e-003	1.774467e+000	1.346666e+000
1.063889094948632e-003	1.952988e+000	1.518649e+000
1.070027487805776e-003	2.129008e+000	1.689329e+000
1.076165880662918e-003	2.302526e+000	1.858707e+000
1.088442666377204e-003	2.642013e+000	2.190419e+000
1.100719452091490e-003	2.961392e+000	2.502888e+000
1.112996237805776e-003	3.260664e+000	2.796112e+000
1.125273023520061e-003	3.539829e+000	3.070092e+000
