time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.019162519570928e-008	1.280718e-003	1.251689e-003
2.038325039141857e-008	2.561435e-003	2.467148e-003
3.057487558712785e-008	3.842152e-003	3.646377e-003
4.076650078283713e-008	5.122870e-003	4.789375e-003
5.095812597854642e-008	6.403587e-003	5.896143e-003
6.114975117425569e-008	7.684304e-003	6.966681e-003
7.134137636996495e-008	8.965021e-003	8.000989e-003
1.169991736062966e-007	1.470255e-002	1.230450e-002
1.800551250964525e-007	2.262639e-002	1.739234e-002
2.654081074719229e-007	3.335215e-002	2.298584e-002
3.786099560885644e-007	4.757749e-002	2.864848e-002
5.287203940148546e-007	6.644084e-002	3.399196e-002
7.285075774017311e-007	9.154664e-002	3.872797e-002
1.000222911829656e-006	1.256909e-001	4.296488e-002
1.380881411003426e-006	1.735245e-001	4.783963e-002
1.932555527908258e-006	2.428461e-001	5.839449e-002
2.677037269858852e-006	3.363906e-001	8.641827e-002
3.431639661639170e-006	4.311991e-001	1.358375e-001
4.379915321922016e-006	5.503269e-001	2.209022e-001
5.330862566923072e-006	6.697707e-001	3.187252e-001
6.466503918413157e-006	8.123813e-001	4.437254e-001
8.270426749178113e-006	1.038825e+000	6.508935e-001
1.141368068459927e-005	1.433056e+000	1.021567e+000
2.221208365203187e-005	2.782200e+000	2.327271e+000
3.002458365203188e-005	3.756318e+000	3.285904e+000
3.783708365203189e-005	4.715713e+000	4.231706e+000
4.564958365203189e-005	5.660385e+000	5.164679e+000
5.346208365203190e-005	6.590335e+000	6.084822e+000
6.127458365203191e-005	7.505562e+000	6.992135e+000
6.908708365203191e-005	8.406067e+000	7.886618e+000
7.689958365203191e-005	9.291849e+000	8.768271e+000
9.085047650917478e-005	1.083109e+001	1.029973e+001
1.048013693663177e-004	1.226215e+001	1.172390e+001
1.187522622234605e-004	1.358503e+001	1.304078e+001
1.327031550806034e-004	1.479973e+001	1.425039e+001
1.466540479377463e-004	1.590624e+001	1.535271e+001
1.606049407948892e-004	1.690457e+001	1.634775e+001
1.745558336520320e-004	1.779472e+001	1.723551e+001
2.007835122234606e-004	1.904517e+001	1.848215e+001
2.270111907948892e-004	1.977226e+001	1.920706e+001
2.532388693663178e-004	1.997600e+001	1.941023e+001
2.794665479377464e-004	1.965639e+001	1.909167e+001
3.056942265091750e-004	1.881342e+001	1.825138e+001
3.319219050806036e-004	1.744711e+001	1.688936e+001
3.581495836520321e-004	1.555744e+001	1.500561e+001
3.698683336520321e-004	1.457508e+001	1.402633e+001
3.815870836520322e-004	1.352893e+001	1.298420e+001
3.933058336520322e-004	1.241899e+001	1.187922e+001
4.050245836520322e-004	1.124526e+001	1.071138e+001
4.167433336520322e-004	1.000775e+001	9.480697e+000
4.284620836520323e-004	8.706448e+000	8.187157e+000
4.401808336520322e-004	7.341358e+000	6.830765e+000
4.463192265091751e-004	6.615779e+000	6.109381e+000
4.524576193663179e-004	5.883116e+000	5.382985e+000
