time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
8.197969816658140e-008	1.287735e-004	1.031746e-004
1.639593963331628e-007	2.575468e-004	1.924120e-004
2.459390944997442e-007	3.863201e-004	2.677120e-004
3.279187926663256e-007	5.150932e-004	3.290747e-004
4.098984908329070e-007	6.438662e-004	3.765001e-004
4.918781889994885e-007	7.726391e-004	4.099882e-004
5.738578871660696e-007	9.014119e-004	4.295390e-004
7.855219615771480e-007	1.233890e-003	4.758971e-004
1.484635146419179e-006	2.332026e-003	5.292206e-004
7.041626436231466e-006	1.108355e-002	5.864411e-004
1.259861772604375e-005	1.979523e-002	6.570567e-004
1.815560901585604e-005	2.846706e-002	7.410674e-004
2.371260030566833e-005	3.709904e-002	8.384733e-004
2.926959159548061e-005	4.569116e-002	9.492743e-004
3.482658288529290e-005	5.424344e-002	1.073470e-003
4.038357417510518e-005	6.275588e-002	1.211062e-003
5.210232417510519e-005	8.038811e-002	1.596266e-003
5.991482417510519e-005	9.190673e-002	1.925198e-003
6.772732417510520e-005	1.032039e-001	2.323068e-003
7.553982417510521e-005	1.142525e-001	2.799709e-003
8.335232417510521e-005	1.250258e-001	3.364548e-003
9.116482417510522e-005	1.354980e-001	4.025930e-003
9.897732417510523e-005	1.456437e-001	4.790343e-003
1.067898241751052e-004	1.554385e-001	5.661627e-003
1.146023241751052e-004	1.648589e-001	6.640226e-003
1.263210741751053e-004	1.782379e-001	8.300420e-003
1.380398241751053e-004	1.906511e-001	1.016279e-002
1.441782170322481e-004	1.967648e-001	1.123208e-002
1.503166098893910e-004	2.025656e-001	1.230423e-002
1.564550027465339e-004	2.080535e-001	1.337924e-002
1.625933956036767e-004	2.132286e-001	1.445711e-002
1.687317884608196e-004	2.180908e-001	1.553783e-002
1.748701813179625e-004	2.226402e-001	1.662142e-002
1.810085741751053e-004	2.268768e-001	1.770787e-002
1.888210741751053e-004	2.317767e-001	1.903892e-002
1.966335741751053e-004	2.360964e-001	2.022775e-002
2.044460741751053e-004	2.398358e-001	2.127437e-002
2.122585741751054e-004	2.429950e-001	2.217877e-002
2.200710741751054e-004	2.455739e-001	2.294095e-002
2.278835741751054e-004	2.475726e-001	2.356092e-002
2.356960741751054e-004	2.489910e-001	2.403867e-002
2.474148241751053e-004	2.499670e-001	2.433414e-002
2.591335741751053e-004	2.495884e-001	2.418897e-002
2.708523241751054e-004	2.478573e-001	2.360771e-002
2.825710741751054e-004	2.447830e-001	2.261320e-002
2.942898241751054e-004	2.403823e-001	2.124587e-002
3.060085741751054e-004	2.346788e-001	1.956243e-002
3.121469670322482e-004	2.311653e-001	1.854632e-002
3.182853598893911e-004	2.273237e-001	1.750539e-002
3.244237527465340e-004	2.231540e-001	1.643963e-002
3.305621456036769e-004	2.186562e-001	1.534905e-002
3.367005384608197e-004	2.138304e-001	1.423364e-002
3.428389313179626e-004	2.086764e-001	1.309341e-002
3.489773241751054e-004	2.031943e-001	1.192835e-002
3.556737527465340e-004	1.968566e-001	1.068975e-002
3.623701813179626e-004	1.902016e-001	9.513818e-003
3.690666098893911e-004	1.832293e-001	8.400557e-003
3.757630384608198e-004	1.759397e-001	7.349966e-003
3.824594670322483e-004	1.683327e-001	6.362045e-003
3.891558956036769e-004	1.604083e-001	5.436795e-003
3.958523241751055e-004	1.521667e-001	4.574214e-003
4.036648241751055e-004	1.422505e-001	3.692652e-003
4.114773241751055e-004	1.319916e-001	2.920600e-003
4.192898241751055e-004	1.214148e-001	2.253806e-003
4.271023241751055e-004	1.105454e-001	1.685460e-003
4.349148241751055e-004	9.940975e-002	1.206991e-003
4.427273241751055e-004	8.803459e-002	8.088311e-004
4.505398241751055e-004	7.644735e-002	4.810760e-004
4.583523241751055e-004	6.467595e-002	2.140146e-004
4.661648241751055e-004	5.274873e-002	-1.489674e-006
4.778835741751055e-004	3.462870e-002	-2.460126e-004
4.896023241751055e-004	1.632101e-002	-4.170605e-004
4.940666098893912e-004	9.304207e-003	-4.653659e-004
4.985308956036769e-004	2.293852e-003	-5.084651e-004
5.029951813179626e-004	-4.710050e-003	-5.463580e-004
5.074594670322484e-004	-1.170750e-002	-5.790446e-004
5.119237527465341e-004	-1.869849e-002	-6.065250e-004
5.163880384608198e-004	-2.568304e-002	-6.287991e-004
5.208523241751055e-004	-3.266113e-002	-6.458670e-004
5.303389313179626e-004	-4.749375e-002	-6.702905e-004
5.398255384608198e-004	-6.203170e-002	-6.881948e-004
5.493121456036769e-004	-7.627495e-002	-6.995800e-004
5.587987527465342e-004	-9.022353e-002	-7.044460e-004
5.682853598893913e-004	-1.038774e-001	-7.027927e-004
5.777719670322485e-004	-1.172366e-001	-6.946203e-004
5.872585741751056e-004	-1.303011e-001	-6.799288e-004
6.023255384608199e-004	-1.502384e-001	-6.549190e-004
6.173925027465342e-004	-1.684672e-001	-6.271310e-004
6.324594670322485e-004	-1.849878e-001	-5.965647e-004
6.475264313179628e-004	-1.998001e-001	-5.632201e-004
6.625933956036772e-004	-2.129040e-001	-5.270972e-004
6.776603598893914e-004	-2.242997e-001	-4.881960e-004
6.927273241751057e-004	-2.339870e-001	-4.465165e-004
7.167228598893914e-004	-2.443461e-001	-3.782117e-004
7.407183956036771e-004	-2.492494e-001	-3.105392e-004
7.647139313179629e-004	-2.486970e-001	-2.434991e-004
7.887094670322487e-004	-2.426888e-001	-1.770913e-004
8.127050027465344e-004	-2.312248e-001	-1.113158e-004
8.367005384608201e-004	-2.143050e-001	-4.617263e-005
8.606960741751058e-004	-1.919295e-001	1.833818e-005
8.729728598893915e-004	-1.787849e-001	4.797564e-005
8.852496456036772e-004	-1.647998e-001	7.831604e-005
8.975264313179631e-004	-1.499741e-001	1.093594e-004
9.098032170322488e-004	-1.343078e-001	1.411057e-004
9.220800027465345e-004	-1.178010e-001	1.735549e-004
9.343567884608202e-004	-1.004537e-001	2.067071e-004
9.466335741751059e-004	-8.226575e-002	2.405622e-004
9.533300027465345e-004	-7.221746e-002	2.601249e-004
9.600264313179630e-004	-6.208661e-002	2.840304e-004
9.667228598893916e-004	-5.187320e-002	3.122787e-004
9.734192884608201e-004	-4.157722e-002	3.448698e-004
9.801157170322488e-004	-3.119867e-002	3.818036e-004
9.868121456036772e-004	-2.073756e-002	4.230802e-004
9.935085741751058e-004	-1.019388e-002	4.686996e-004
9.979728598893916e-004	-3.170367e-003	5.038429e-004
1.002437145603677e-003	3.841875e-003	5.455939e-004
1.006901431317963e-003	1.084284e-002	5.939525e-004
1.011365717032249e-003	1.783254e-002	6.489188e-004
1.015830002746535e-003	2.481097e-002	7.104928e-004
1.020294288460820e-003	3.177813e-002	7.786744e-004
1.024758574175106e-003	3.873401e-002	8.534637e-004
1.036477324175106e-003	5.679812e-002	1.106980e-003
1.048196074175106e-003	7.455443e-002	1.454605e-003
1.056008574175106e-003	8.617337e-002	1.752729e-003
1.063821074175106e-003	9.758472e-002	2.114898e-003
1.071633574175106e-003	1.087610e-001	2.550936e-003
1.079446074175106e-003	1.196752e-001	3.070548e-003
1.087258574175106e-003	1.303011e-001	3.682713e-003
1.095071074175106e-003	1.406132e-001	4.394946e-003
1.102883574175106e-003	1.505864e-001	5.212511e-003
1.110696074175106e-003	1.601969e-001	6.137634e-003
1.122414824175106e-003	1.738821e-001	7.722603e-003
1.134133574175106e-003	1.866250e-001	9.522315e-003
1.140271967032249e-003	1.929209e-001	1.056505e-002
1.146410359889392e-003	1.989089e-001	1.161820e-002
1.152548752746535e-003	2.045891e-001	1.268175e-002
1.158687145603677e-003	2.099615e-001	1.375572e-002
1.164825538460820e-003	2.150260e-001	1.484009e-002
1.170963931317963e-003	2.197826e-001	1.593488e-002
1.177102324175106e-003	2.242314e-001	1.704007e-002
1.184914824175106e-003	2.294079e-001	1.841069e-002
1.192727324175106e-003	2.340081e-001	1.964844e-002
1.200539824175106e-003	2.380321e-001	2.075331e-002
1.208352324175106e-003	2.414798e-001	2.172532e-002
1.216164824175106e-003	2.443512e-001	2.256446e-002
