time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.780810611442861e-008	5.594582e-004	5.358266e-004
3.561621222885722e-008	1.118916e-003	1.046761e-003
5.342431834328583e-008	1.678375e-003	1.532805e-003
7.123242445771444e-008	2.237833e-003	1.993956e-003
8.904053057214304e-008	2.797291e-003	2.430216e-003
1.068486366865717e-007	3.356749e-003	2.841584e-003
1.246567428010002e-007	3.916207e-003	3.228060e-003
1.949947866245690e-007	6.125940e-003	4.584114e-003
2.793885984932599e-007	8.777247e-003	5.884429e-003
4.015355816167537e-007	1.261460e-002	7.283867e-003
5.522315984893586e-007	1.734883e-002	8.467400e-003
7.641257550324227e-007	2.400563e-002	9.491625e-003
1.039681307268585e-006	3.266232e-002	1.023132e-002
1.442955198591416e-006	4.533115e-002	1.079383e-002
2.031059609468794e-006	6.380589e-002	1.132003e-002
3.035380889379786e-006	9.535352e-002	1.241424e-002
4.951646819209318e-006	1.555355e-001	1.736751e-002
7.943278059471027e-006	2.494418e-001	3.723126e-002
1.125973656821151e-005	3.534400e-001	8.111158e-002
1.457180981132865e-005	4.571476e-001	1.468053e-001
1.847805981132865e-005	5.792021e-001	2.408034e-001
2.238430981132865e-005	7.009077e-001	3.431110e-001
2.629055981132865e-005	8.221911e-001	4.499537e-001
3.800930981132865e-005	1.182779e+000	7.819582e-001
4.526377409704294e-005	1.404010e+000	9.920914e-001
5.251823838275723e-005	1.621220e+000	1.199391e+000
5.977270266847153e-005	1.834411e+000	1.403856e+000
6.702716695418582e-005	2.043582e+000	1.605487e+000
7.428163123990013e-005	2.248733e+000	1.804285e+000
8.153609552561441e-005	2.449865e+000	2.000248e+000
8.879055981132869e-005	2.646976e+000	2.193377e+000
1.027414526684716e-004	3.013839e+000	2.553049e+000
1.166923455256144e-004	3.351732e+000	2.884609e+000
1.306432383827573e-004	3.660654e+000	3.188057e+000
1.445941312399002e-004	3.940605e+000	3.463393e+000
1.585450240970431e-004	4.191585e+000	3.710617e+000
1.724959169541859e-004	4.413595e+000	3.929729e+000
1.864468098113288e-004	4.606635e+000	4.120730e+000
2.104423455256145e-004	4.843824e+000	4.354965e+000
2.344378812399003e-004	4.971253e+000	4.480834e+000
2.584334169541860e-004	4.988922e+000	4.498338e+000
2.824289526684718e-004	4.896832e+000	4.407477e+000
3.064244883827575e-004	4.694981e+000	4.208249e+000
3.304200240970433e-004	4.383372e+000	3.900656e+000
3.544155598113289e-004	3.962002e+000	3.484698e+000
3.655762740970432e-004	3.735277e+000	3.260913e+000
3.767369883827576e-004	3.493385e+000	3.022848e+000
3.878977026684718e-004	3.236325e+000	2.770503e+000
3.990584169541861e-004	2.964098e+000	2.503878e+000
4.102191312399004e-004	2.676703e+000	2.222973e+000
4.213798455256147e-004	2.374140e+000	1.927788e+000
4.325405598113290e-004	2.056410e+000	1.618323e+000
4.375628812399005e-004	1.911220e+000	1.477234e+000
4.425852026684719e-004	1.764497e+000	1.335584e+000
4.476075240970433e-004	1.616240e+000	1.193374e+000
4.526298455256147e-004	1.466450e+000	1.050603e+000
4.576521669541862e-004	1.315127e+000	9.072714e-001
4.626744883827576e-004	1.162271e+000	7.633796e-001
4.676968098113290e-004	1.007881e+000	6.189273e-001
4.755093098113290e-004	7.663649e-001	3.999260e-001
4.794155598113290e-004	6.448779e-001	2.944592e-001
4.833218098113290e-004	5.230023e-001	1.947554e-001
