time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.906249976259879e-011	1.227185e-006	2.698237e-011
7.812499952519758e-011	2.454369e-006	5.481010e-011
1.562499990503952e-010	4.908738e-006	1.113835e-010
3.658482120622825e-007	1.149354e-002	2.658268e-007
7.315401741255147e-007	2.298199e-002	5.402811e-007
1.097232136188747e-006	3.447024e-002	8.234745e-007
1.462924098251979e-006	4.595829e-002	1.115407e-006
1.828616060315211e-006	5.744616e-002	1.416078e-006
2.194308022378443e-006	6.893383e-002	1.725489e-006
2.559999984441674e-006	8.042131e-002	2.043638e-006
4.243309300244316e-006	1.332917e-001	3.737037e-006
5.796410941827560e-006	1.820594e-001	5.864246e-006
7.094335961080953e-006	2.228013e-001	8.594966e-006
8.213204740905119e-006	2.579109e-001	1.247058e-005
9.233747433410099e-006	2.899240e-001	1.846128e-005
1.020098599937492e-005	3.202541e-001	2.819223e-005
1.113638536476896e-005	3.495744e-001	4.470261e-005
1.212768226559622e-005	3.806338e-001	7.527779e-005
1.304217472122469e-005	4.092736e-001	1.250324e-004
1.397779496293913e-005	4.385611e-001	2.139371e-004
1.486787036898635e-005	4.664088e-001	3.610973e-004
1.577348160841915e-005	4.947277e-001	6.194016e-004
1.665693288213774e-005	5.223382e-001	1.052504e-003
1.755585914109472e-005	5.504158e-001	1.804866e-003
1.845017239337933e-005	5.783319e-001	3.075817e-003
1.936773773862183e-005	6.069548e-001	5.268814e-003
2.030566126950537e-005	6.361919e-001	8.991655e-003
2.129987546852005e-005	6.671596e-001	1.541281e-002
2.238381960272698e-005	7.008924e-001	2.647646e-002
2.367454441890446e-005	7.410179e-001	4.649632e-002
2.551187911615081e-005	7.980514e-001	8.592313e-002
2.765800570154764e-005	8.645350e-001	1.426655e-001
3.020126096879604e-005	9.431166e-001	2.174672e-001
3.305296445271250e-005	1.030941e+000	3.044067e-001
4.086546445271251e-005	1.269766e+000	5.435107e-001
4.979403588128395e-005	1.540933e+000	8.153989e-001
5.872260730985538e-005	1.805236e+000	1.080625e+000
6.765117873842682e-005	2.062676e+000	1.339188e+000
7.657975016699826e-005	2.313252e+000	1.591089e+000
8.550832159556971e-005	2.556964e+000	1.836328e+000
9.443689302414114e-005	2.793814e+000	2.074904e+000
1.033654644527126e-004	3.023800e+000	2.306818e+000
1.150842144527126e-004	3.311732e+000	2.597454e+000
1.268029644527126e-004	3.578444e+000	2.867545e+000
1.385217144527126e-004	3.823936e+000	3.117091e+000
1.502404644527126e-004	4.048209e+000	3.346091e+000
1.619592144527126e-004	4.251262e+000	3.554546e+000
1.736779644527126e-004	4.433095e+000	3.742455e+000
1.853967144527126e-004	4.593709e+000	3.909820e+000
1.915351073098555e-004	4.666623e+000	3.986691e+000
1.976735001669984e-004	4.732384e+000	4.057015e+000
2.038118930241412e-004	4.790990e+000	4.120792e+000
2.099502858812841e-004	4.842443e+000	4.178021e+000
2.160886787384270e-004	4.886741e+000	4.228703e+000
2.222270715955698e-004	4.923886e+000	4.272838e+000
2.283654644527127e-004	4.953876e+000	4.310426e+000
2.361779644527127e-004	4.981156e+000	4.349378e+000
2.400842144527127e-004	4.990299e+000	4.365204e+000
2.439904644527127e-004	4.996436e+000	4.378705e+000
2.478967144527127e-004	4.999563e+000	4.389979e+000
2.518029644527127e-004	4.999679e+000	4.399148e+000
2.557092144527127e-004	4.996783e+000	4.406353e+000
2.596154644527127e-004	4.990878e+000	4.411756e+000
2.635217144527127e-004	4.981966e+000	4.415536e+000
2.674279644527127e-004	4.970053e+000	4.417893e+000
2.713342144527127e-004	4.955146e+000	4.419037e+000
2.752404644527127e-004	4.937254e+000	4.419180e+000
2.791467144527127e-004	4.916389e+000	4.418530e+000
2.830529644527127e-004	4.892562e+000	4.417279e+000
2.869592144527127e-004	4.865788e+000	4.415592e+000
2.908654644527127e-004	4.836082e+000	4.413607e+000
2.947717144527127e-004	4.803464e+000	4.411427e+000
2.986779644527127e-004	4.767953e+000	4.409127e+000
3.025842144527127e-004	4.729569e+000	4.406759e+000
3.064904644527127e-004	4.688337e+000	4.404354e+000
3.103967144527127e-004	4.644280e+000	4.401930e+000
3.143029644527127e-004	4.597426e+000	4.399498e+000
3.182092144527127e-004	4.547802e+000	4.397063e+000
3.221154644527127e-004	4.495440e+000	4.394627e+000
3.260217144527127e-004	4.440369e+000	4.392192e+000
3.299279644527127e-004	4.382623e+000	4.389758e+000
3.338342144527127e-004	4.322238e+000	4.387325e+000
3.377404644527127e-004	4.259249e+000	4.384893e+000
3.466690358812842e-004	4.104248e+000	4.379340e+000
