time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.906249976259879e-011	1.227185e-006	2.698237e-011
7.812499952519758e-011	2.454369e-006	5.481010e-011
1.562499990503952e-010	4.908738e-006	1.113835e-010
3.658482120622825e-007	1.149354e-002	2.658266e-007
7.315401741255147e-007	2.298199e-002	5.402804e-007
1.097232136188747e-006	3.447024e-002	8.234729e-007
1.462924098251979e-006	4.595829e-002	1.115404e-006
1.828616060315211e-006	5.744616e-002	1.416074e-006
2.194308022378443e-006	6.893383e-002	1.725482e-006
2.559999984441674e-006	8.042131e-002	2.043630e-006
4.243307553024879e-006	1.332916e-001	3.737012e-006
5.796406754891566e-006	1.820592e-001	5.864194e-006
7.094329877294512e-006	2.228011e-001	8.594879e-006
8.213197431146736e-006	2.579107e-001	1.247044e-005
9.233739324158197e-006	2.899238e-001	1.846107e-005
1.020097731918788e-005	3.202538e-001	2.819190e-005
1.113637624735654e-005	3.495741e-001	4.470209e-005
1.212767251439486e-005	3.806335e-001	7.527690e-005
1.304216463815534e-005	4.092733e-001	1.250309e-004
1.397778448064213e-005	4.385608e-001	2.139346e-004
1.486785968206924e-005	4.664085e-001	3.610931e-004
1.577347067407088e-005	4.947274e-001	6.193944e-004
1.665692179321200e-005	5.223379e-001	1.052492e-003
1.755584782951180e-005	5.504155e-001	1.804845e-003
1.845016084552728e-005	5.783315e-001	3.075782e-003
1.936772578733825e-005	6.069544e-001	5.268753e-003
2.030564868661174e-005	6.361915e-001	8.991551e-003
2.129986171763698e-005	6.671592e-001	1.541263e-002
2.238380368639092e-005	7.008920e-001	2.647615e-002
2.367452362797346e-005	7.410173e-001	4.649574e-002
2.551184240346385e-005	7.980503e-001	8.592189e-002
2.765796593384500e-005	8.645338e-001	1.426639e-001
3.020121540522755e-005	9.431152e-001	2.174650e-001
3.305290205770297e-005	1.030939e+000	3.044035e-001
4.086540205770298e-005	1.269764e+000	5.435064e-001
4.979397348627442e-005	1.540931e+000	8.153932e-001
5.872254491484586e-005	1.805234e+000	1.080618e+000
6.765111634341730e-005	2.062674e+000	1.339179e+000
7.657968777198873e-005	2.313250e+000	1.591079e+000
8.550825920056017e-005	2.556963e+000	1.836316e+000
9.443683062913161e-005	2.793812e+000	2.074891e+000
1.033654020577030e-004	3.023798e+000	2.306803e+000
1.150841520577030e-004	3.311730e+000	2.597437e+000
1.268029020577031e-004	3.578442e+000	2.867525e+000
1.385216520577031e-004	3.823935e+000	3.117068e+000
1.502404020577031e-004	4.048208e+000	3.346064e+000
1.619591520577031e-004	4.251261e+000	3.554515e+000
1.736779020577031e-004	4.433094e+000	3.742419e+000
1.853966520577031e-004	4.593708e+000	3.909778e+000
1.915350449148460e-004	4.666622e+000	3.986646e+000
1.976734377719888e-004	4.732383e+000	4.056966e+000
2.038118306291317e-004	4.790989e+000	4.120737e+000
2.099502234862746e-004	4.842442e+000	4.177960e+000
2.160886163434174e-004	4.886740e+000	4.228635e+000
2.222270092005603e-004	4.923885e+000	4.272761e+000
2.283654020577031e-004	4.953876e+000	4.310339e+000
2.361779020577032e-004	4.981156e+000	4.349275e+000
2.400841520577032e-004	4.990299e+000	4.365090e+000
2.439904020577032e-004	4.996436e+000	4.378579e+000
2.478966520577031e-004	4.999563e+000	4.389839e+000
2.518029020577031e-004	4.999679e+000	4.398993e+000
2.557091520577031e-004	4.996783e+000	4.406179e+000
2.596154020577031e-004	4.990878e+000	4.411561e+000
2.635216520577032e-004	4.981966e+000	4.415317e+000
2.674279020577032e-004	4.970053e+000	4.417646e+000
2.713341520577032e-004	4.955146e+000	4.418758e+000
2.752404020577032e-004	4.937254e+000	4.418867e+000
2.791466520577032e-004	4.916389e+000	4.418180e+000
2.830529020577032e-004	4.892562e+000	4.416888e+000
2.869591520577032e-004	4.865788e+000	4.415158e+000
2.908654020577032e-004	4.836083e+000	4.413127e+000
2.947716520577032e-004	4.803465e+000	4.410900e+000
2.986779020577032e-004	4.767953e+000	4.408553e+000
3.025841520577032e-004	4.729570e+000	4.406137e+000
3.064904020577032e-004	4.688337e+000	4.403683e+000
3.103966520577032e-004	4.644281e+000	4.401211e+000
3.143029020577032e-004	4.597426e+000	4.398730e+000
3.182091520577032e-004	4.547803e+000	4.396246e+000
3.221154020577032e-004	4.495440e+000	4.393762e+000
3.260216520577032e-004	4.440370e+000	4.391278e+000
3.299279020577032e-004	4.382624e+000	4.388796e+000
3.338341520577032e-004	4.322239e+000	4.386314e+000
3.377404020577032e-004	4.259250e+000	4.383834e+000
3.466689734862747e-004	4.104249e+000	4.378171e+000
