time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.906249976259879e-011	1.227185e-006	2.698237e-011
7.812499952519758e-011	2.454369e-006	5.481010e-011
1.562499990503952e-010	4.908738e-006	1.113835e-010
3.658482120622825e-007	1.149354e-002	2.658352e-007
7.315401741255147e-007	2.298199e-002	5.403135e-007
1.097232136188747e-006	3.447024e-002	8.235462e-007
1.462924098251979e-006	4.595829e-002	1.115533e-006
1.828616060315211e-006	5.744616e-002	1.416275e-006
2.194308022378443e-006	6.893383e-002	1.725771e-006
2.559999984441674e-006	8.042131e-002	2.044021e-006
4.243387275863338e-006	1.332942e-001	3.738162e-006
5.796597777927939e-006	1.820652e-001	5.866553e-006
7.094607413726445e-006	2.228099e-001	8.598884e-006
8.213530867994472e-006	2.579212e-001	1.247673e-005
9.234109207829747e-006	2.899354e-001	1.847074e-005
1.020137322871305e-005	3.202662e-001	2.820690e-005
1.113679208866077e-005	3.495872e-001	4.472594e-005
1.212811724419333e-005	3.806474e-001	7.531735e-005
1.304262449802734e-005	4.092877e-001	1.250979e-004
1.397826253969785e-005	4.385757e-001	2.140493e-004
1.486834707160221e-005	4.664237e-001	3.612860e-004
1.577396934465565e-005	4.947430e-001	6.197254e-004
1.665742751376424e-005	5.223536e-001	1.053053e-003
1.755636370364166e-005	5.504315e-001	1.805806e-003
1.845068749629451e-005	5.783480e-001	3.077416e-003
1.936827083806283e-005	6.069714e-001	5.271552e-003
2.030622254615199e-005	6.362094e-001	8.996325e-003
2.130048885076007e-005	6.671787e-001	1.542084e-002
2.238452959202413e-005	7.009146e-001	2.649043e-002
2.367547189143201e-005	7.410467e-001	4.652208e-002
2.551351712225545e-005	7.981022e-001	8.597808e-002
2.765978046314333e-005	8.645900e-001	1.427401e-001
3.020329468344266e-005	9.431794e-001	2.175674e-001
3.305574961089483e-005	1.031027e+000	3.045489e-001
4.086824961089484e-005	1.269851e+000	5.437061e-001
4.979682103946628e-005	1.541016e+000	8.156548e-001
5.872539246803772e-005	1.805317e+000	1.080944e+000
6.765396389660916e-005	2.062755e+000	1.339572e+000
7.658253532518059e-005	2.313329e+000	1.591541e+000
8.551110675375203e-005	2.557040e+000	1.836850e+000
9.443967818232347e-005	2.793886e+000	2.075500e+000
1.033682496108949e-004	3.023869e+000	2.307489e+000
1.150869996108949e-004	3.311797e+000	2.598216e+000
1.268057496108949e-004	3.578505e+000	2.868425e+000
1.385244996108949e-004	3.823993e+000	3.118117e+000
1.502432496108949e-004	4.048260e+000	3.347290e+000
1.619619996108949e-004	4.251308e+000	3.555944e+000
1.736807496108950e-004	4.433136e+000	3.744081e+000
1.853994996108950e-004	4.593743e+000	3.911700e+000
1.909798567537521e-004	4.660285e+000	3.982014e+000
1.965602138966093e-004	4.720933e+000	4.046944e+000
2.021405710394664e-004	4.775688e+000	4.106492e+000
2.077209281823236e-004	4.824548e+000	4.160655e+000
2.133012853251807e-004	4.867516e+000	4.209435e+000
2.188816424680379e-004	4.904589e+000	4.252832e+000
2.244619996108950e-004	4.935770e+000	4.290844e+000
2.322744996108950e-004	4.969022e+000	4.335497e+000
2.400869996108950e-004	4.990304e+000	4.370468e+000
2.439932496108950e-004	4.996439e+000	4.384530e+000
2.478994996108950e-004	4.999565e+000	4.396454e+000
2.518057496108950e-004	4.999678e+000	4.406377e+000
2.557119996108950e-004	4.996780e+000	4.414451e+000
2.596182496108950e-004	4.990872e+000	4.420853e+000
2.635244996108950e-004	4.981958e+000	4.425777e+000
2.674307496108950e-004	4.970043e+000	4.429430e+000
2.713369996108950e-004	4.955134e+000	4.432024e+000
2.752432496108950e-004	4.937241e+000	4.433769e+000
2.791494996108951e-004	4.916373e+000	4.434863e+000
2.830557496108951e-004	4.892544e+000	4.435479e+000
2.869619996108951e-004	4.865767e+000	4.435761e+000
2.908682496108951e-004	4.836061e+000	4.435823e+000
2.947744996108951e-004	4.803440e+000	4.435747e+000
2.986807496108951e-004	4.767926e+000	4.435590e+000
3.025869996108951e-004	4.729541e+000	4.435388e+000
3.064932496108951e-004	4.688306e+000	4.435162e+000
3.103994996108951e-004	4.644248e+000	4.434924e+000
3.143057496108951e-004	4.597392e+000	4.434681e+000
3.182119996108951e-004	4.547766e+000	4.434436e+000
3.221182496108951e-004	4.495401e+000	4.434189e+000
3.260244996108951e-004	4.440329e+000	4.433942e+000
3.299307496108951e-004	4.382581e+000	4.433695e+000
3.338369996108951e-004	4.322194e+000	4.433448e+000
3.455557496108951e-004	4.125564e+000	4.432707e+000
3.583905710394666e-004	3.879715e+000	4.431896e+000
