time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	9.994888e-004
5.521566865371934e-008	8.673260e-005	1.010280e-003
1.104313373074387e-007	1.734652e-004	1.031441e-003
1.656470059611580e-007	2.601977e-004	1.062973e-003
2.208626746148774e-007	3.469302e-004	1.104874e-003
2.760783432685967e-007	4.336626e-004	1.157146e-003
3.312940119223161e-007	5.203950e-004	1.219787e-003
3.865096805760352e-007	6.071274e-004	1.292799e-003
6.922392914880382e-007	1.087367e-003	1.638430e-003
9.979689024000410e-007	1.567598e-003	1.988314e-003
1.303698513312044e-006	2.047821e-003	2.342452e-003
1.609428124224047e-006	2.528036e-003	2.700843e-003
1.915157735136050e-006	3.008243e-003	3.063488e-003
2.220887346048053e-006	3.488443e-003	3.430386e-003
2.526616956960055e-006	3.968634e-003	3.801538e-003
4.344329811646402e-006	6.823210e-003	6.132090e-003
6.348338349021182e-006	9.969302e-003	8.972823e-003
8.540163586526140e-006	1.340842e-002	1.246017e-002
1.081500543951741e-005	1.697510e-002	1.638274e-002
1.201341478954644e-005	1.885271e-002	1.850164e-002
1.338165898805442e-005	2.099510e-002	2.088616e-002
1.491808609591340e-005	2.339898e-002	2.347743e-002
1.867095759576282e-005	2.926105e-002	2.957559e-002
2.474203015369449e-005	3.870834e-002	3.914860e-002
3.255453015369449e-005	5.078070e-002	5.130445e-002
4.427328015369450e-005	6.865085e-002	6.924510e-002
5.599203015369451e-005	8.636663e-002	8.699649e-002
6.771078015369452e-005	1.033947e-001	1.040565e-001
7.942953015369455e-005	1.197351e-001	1.204252e-001
9.114828015369456e-005	1.353878e-001	1.361026e-001
1.028670301536946e-004	1.503528e-001	1.510885e-001
1.145857801536946e-004	1.646301e-001	1.653832e-001
1.263045301536946e-004	1.782197e-001	1.789864e-001
1.463938158679803e-004	1.993475e-001	2.001444e-001
1.664831015822660e-004	2.167834e-001	2.176115e-001
1.865723872965518e-004	2.305277e-001	2.313877e-001
2.066616730108375e-004	2.405801e-001	2.414730e-001
2.267509587251232e-004	2.469408e-001	2.478675e-001
2.468402444394089e-004	2.496098e-001	2.505711e-001
2.669295301536947e-004	2.485870e-001	2.495838e-001
2.842286372965518e-004	2.439037e-001	2.449311e-001
3.015277444394090e-004	2.366458e-001	2.377037e-001
3.188268515822662e-004	2.268132e-001	2.279017e-001
3.361259587251233e-004	2.144059e-001	2.155249e-001
3.534250658679805e-004	1.994240e-001	2.005736e-001
3.707241730108377e-004	1.818674e-001	1.830475e-001
3.880232801536948e-004	1.617361e-001	1.629468e-001
3.986259587251234e-004	1.485254e-001	1.497514e-001
4.092286372965519e-004	1.348144e-001	1.360601e-001
4.198313158679805e-004	1.206032e-001	1.218728e-001
4.304339944394091e-004	1.058916e-001	1.071897e-001
4.410366730108377e-004	9.067980e-002	9.201053e-002
4.516393515822663e-004	7.496768e-002	7.633547e-002
