time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	9.994888e-004
2.642640383165262e-008	8.302100e-004	1.005619e-003
5.285280766330524e-008	1.660420e-003	1.084321e-003
7.927921149495786e-008	2.490630e-003	1.235594e-003
1.057056153266105e-007	3.320839e-003	1.459439e-003
1.321320191582631e-007	4.151049e-003	1.755856e-003
1.585584229899157e-007	4.981259e-003	2.124844e-003
1.849848268215683e-007	5.811468e-003	2.566404e-003
2.481183096081037e-007	7.794864e-003	3.790900e-003
3.554148115934110e-007	1.116568e-002	6.145700e-003
4.672936526973638e-007	1.468044e-002	8.704860e-003
5.945000031176817e-007	1.867672e-002	1.161014e-002
7.399443081155027e-007	2.324595e-002	1.490972e-002
1.024000140362349e-006	3.216969e-002	2.145891e-002
1.496725404068851e-006	4.702032e-002	3.296133e-002
2.055738351271065e-006	6.458113e-002	4.817272e-002
2.563863293054282e-006	8.054265e-002	6.462987e-002
3.155961447027375e-006	9.914096e-002	8.676451e-002
3.485053711712821e-006	1.094774e-001	9.963883e-002
3.736239417930916e-006	1.173666e-001	1.091241e-001
4.064939417111686e-006	1.276900e-001	1.207800e-001
4.846622212307187e-006	1.522376e-001	1.466349e-001
6.465147978486119e-006	2.030528e-001	1.980906e-001
9.542934063482476e-006	2.996205e-001	2.951309e-001
1.603113501167481e-005	5.027817e-001	4.986530e-001
2.774988501167481e-005	8.673779e-001	8.634743e-001
3.723649215453197e-005	1.161649e+000	1.157832e+000
4.672309929738913e-005	1.449310e+000	1.445584e+000
5.620970644024628e-005	1.730360e+000	1.726731e+000
6.569631358310343e-005	2.004799e+000	2.001272e+000
7.518292072596059e-005	2.272627e+000	2.269207e+000
8.466952786881775e-005	2.533844e+000	2.530537e+000
9.415613501167487e-005	2.788451e+000	2.785262e+000
1.097811350116749e-004	3.189196e+000	3.186248e+000
1.254061350116749e-004	3.551595e+000	3.548916e+000
1.410311350116749e-004	3.875647e+000	3.873265e+000
1.566561350116749e-004	4.161352e+000	4.159296e+000
1.722811350116750e-004	4.408711e+000	4.407009e+000
1.879061350116750e-004	4.617724e+000	4.616402e+000
2.035311350116750e-004	4.788390e+000	4.787478e+000
2.264105992973893e-004	4.939862e+000	4.939602e+000
2.492900635831036e-004	4.992715e+000	4.993101e+000
2.721695278688179e-004	4.946949e+000	4.947976e+000
2.950489921545322e-004	4.802565e+000	4.804226e+000
3.179284564402465e-004	4.559561e+000	4.561852e+000
3.408079207259608e-004	4.217939e+000	4.220854e+000
3.636873850116751e-004	3.777698e+000	3.781231e+000
3.754061350116751e-004	3.522492e+000	3.526309e+000
3.871248850116751e-004	3.252104e+000	3.256191e+000
3.988436350116751e-004	2.966534e+000	2.970876e+000
4.105623850116751e-004	2.665781e+000	2.670365e+000
4.222811350116751e-004	2.349846e+000	2.354658e+000
4.339998850116752e-004	2.018730e+000	2.023754e+000
4.457186350116751e-004	1.672431e+000	1.677653e+000
4.512989921545323e-004	1.505699e+000	1.510996e+000
4.568793492973895e-004	1.337637e+000	1.343022e+000
4.624597064402466e-004	1.168246e+000	1.173732e+000
4.680400635831038e-004	9.975257e-001	1.003126e+000
4.736204207259609e-004	8.254755e-001	8.312033e-001
4.792007778688180e-004	6.520958e-001	6.579641e-001
4.847811350116752e-004	4.773864e-001	4.834085e-001
4.886873850116751e-004	3.550971e-001	3.613324e-001
4.925936350116751e-004	2.325938e-001	2.392482e-001
4.964998850116751e-004	1.099505e-001	1.176384e-001
4.985277027744990e-004	4.625292e-002	5.542326e-002
4.998684405452399e-004	4.133062e-003	1.570095e-002
5.008798134814456e-004	-2.764001e-002	-1.226993e-002
5.017386344721798e-004	-5.461973e-002	-3.342012e-002
5.025654590218465e-004	-8.059278e-002	-5.068154e-002
5.033600290474987e-004	-1.055506e-001	-6.365468e-002
5.043796332599983e-004	-1.375729e-001	-7.450480e-002
5.054106520886098e-004	-1.699479e-001	-7.850296e-002
5.066418608428168e-004	-2.085997e-001	-7.644183e-002
5.078997746013130e-004	-2.480768e-001	-7.167748e-002
5.092774699533217e-004	-2.912953e-001	-6.687049e-002
5.109854266438932e-004	-3.448434e-001	-6.268414e-002
5.144013400250361e-004	-4.518143e-001	-5.753595e-002
5.183075900250361e-004	-5.738823e-001	-5.433320e-002
5.222138400250361e-004	-6.956047e-001	-5.281590e-002
5.261200900250361e-004	-8.169081e-001	-5.227770e-002
5.300263400250361e-004	-9.377194e-001	-5.235815e-002
5.339325900250361e-004	-1.057966e+000	-5.285283e-002
5.378388400250361e-004	-1.177575e+000	-5.364351e-002
5.417450900250361e-004	-1.296475e+000	-5.464912e-002
5.456513400250361e-004	-1.414594e+000	-4.632949e-002
5.495575900250361e-004	-1.531861e+000	-2.557664e-002
5.500458712750360e-004	-1.546456e+000	-2.670392e-002
5.510224337750360e-004	-1.575601e+000	-3.256209e-002
5.527241025071340e-004	-1.626246e+000	-3.393443e-002
5.545191004608825e-004	-1.679467e+000	-3.485448e-002
5.573174406241331e-004	-1.762008e+000	-3.658402e-002
5.612236906241331e-004	-1.876312e+000	-3.878730e-002
5.740585120527045e-004	-2.248826e+000	-4.609366e-002
5.868933334812760e-004	-2.601377e+000	-5.300855e-002
5.997281549098474e-004	-2.933967e+000	-5.953199e-002
6.125629763384188e-004	-3.246595e+000	-6.566397e-002
6.253977977669904e-004	-3.539260e+000	-7.140448e-002
6.382326191955618e-004	-3.811964e+000	-7.675354e-002
6.510674406241332e-004	-4.064705e+000	-8.171114e-002
6.812013691955618e-004	-4.543764e+000	-9.111177e-002
7.113352977669904e-004	-4.851109e+000	-9.714590e-002
7.414692263384190e-004	-4.986738e+000	-9.981354e-002
7.716031549098476e-004	-4.950654e+000	-9.911468e-002
8.017370834812762e-004	-4.742855e+000	-9.504932e-002
8.318710120527048e-004	-4.363341e+000	-8.761747e-002
8.620049406241334e-004	-3.812112e+000	-7.681912e-002
8.737236906241334e-004	-3.559795e+000	-7.187517e-002
8.854424406241334e-004	-3.292062e+000	-6.662876e-002
8.971611906241334e-004	-3.008912e+000	-6.107989e-002
9.088799406241334e-004	-2.710346e+000	-5.522857e-002
9.205986906241334e-004	-2.396363e+000	-4.907478e-002
9.323174406241334e-004	-2.066963e+000	-4.261854e-002
9.440361906241334e-004	-1.722147e+000	-3.585985e-002
9.507326191955620e-004	-1.522273e+000	-3.194232e-002
9.574290477669905e-004	-1.320605e+000	-2.798935e-002
9.641254763384192e-004	-1.117145e+000	-2.400095e-002
9.708219049098477e-004	-9.118925e-001	-1.997711e-002
9.775183334812762e-004	-7.048471e-001	-1.591784e-002
9.842147620527048e-004	-4.960090e-001	-1.182314e-002
9.909111906241334e-004	-2.853782e-001	-7.692995e-003
9.948174406241334e-004	-1.627861e-001	-5.258796e-003
9.965496056025963e-004	-1.083888e-001	-4.082710e-003
9.976503300633565e-004	-7.381438e-002	-3.143224e-003
9.983642709185587e-004	-5.138704e-002	-2.256257e-003
9.990844528135309e-004	-2.876261e-002	-7.976770e-004
9.999320785239016e-004	-2.133816e-003	1.966156e-003
1.000327192704355e-003	1.027905e-002	4.088198e-003
1.000734997914698e-003	2.309056e-002	7.180027e-003
1.001107729343400e-003	3.480006e-002	1.039478e-002
1.001853192200805e-003	5.821843e-002	1.642246e-002
1.002855918129170e-003	8.971650e-002	2.231421e-002
1.004301535832098e-003	1.351203e-001	2.726885e-002
1.005422989335630e-003	1.703353e-001	2.933848e-002
1.006686049445741e-003	2.099867e-001	3.078669e-002
1.014574273796932e-003	4.572247e-001	3.866999e-002
1.018480523796932e-003	5.792790e-001	4.293174e-002
1.022386773796932e-003	7.009844e-001	4.760864e-002
1.026293023796932e-003	8.222675e-001	5.289715e-002
1.030199273796932e-003	9.430553e-001	5.914725e-002
1.034105523796932e-003	1.063275e+000	6.708176e-002
1.038011773796932e-003	1.182854e+000	7.857363e-002
1.041918023796932e-003	1.301721e+000	9.913136e-002
1.044703479823562e-003	1.386008e+000	1.430803e-001
1.045951137839388e-003	1.423625e+000	2.211013e-001
1.046532585138816e-003	1.441126e+000	3.207786e-001
1.047232235914490e-003	1.462159e+000	5.049048e-001
1.047648641435923e-003	1.474664e+000	6.251811e-001
1.048173396840604e-003	1.490409e+000	7.812108e-001
1.049222907649966e-003	1.521848e+000	1.099010e+000
1.050192569693410e-003	1.550838e+000	1.393027e+000
1.050575984869301e-003	1.562284e+000	1.501817e+000
1.050770196062464e-003	1.568079e+000	1.545469e+000
1.050905236127950e-003	1.572107e+000	1.565490e+000
1.050956309682457e-003	1.573630e+000	1.569837e+000
1.051024227774031e-003	1.575655e+000	1.573161e+000
1.051126559016710e-003	1.578706e+000	1.576406e+000
1.051277050375391e-003	1.583191e+000	1.580369e+000
1.051427541734072e-003	1.587675e+000	1.584451e+000
1.051578033092753e-003	1.592157e+000	1.588652e+000
1.051728524451435e-003	1.596638e+000	1.592973e+000
1.051879015810116e-003	1.601118e+000	1.597413e+000
1.052029507168797e-003	1.605596e+000	1.601972e+000
1.052179998527478e-003	1.610073e+000	1.606651e+000
1.063988817042085e-003	1.960861e+000	1.957442e+000
1.075797635556691e-003	2.296490e+000	2.293117e+000
1.087606454071298e-003	2.616962e+000	2.613677e+000
1.099415272585904e-003	2.922275e+000	2.919121e+000
1.111224091100511e-003	3.212430e+000	3.209449e+000
1.123032909615117e-003	3.487427e+000	3.484661e+000
1.134841728129724e-003	3.747265e+000	3.744758e+000
1.157721192415438e-003	4.193126e+000	4.191123e+000
