time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	9.994860e-004
5.529265744932778e-008	8.685353e-005	1.010323e-003
1.105853148986556e-007	1.737070e-004	1.031464e-003
1.658779723479834e-007	2.605605e-004	1.062909e-003
2.211706297973111e-007	3.474139e-004	1.104659e-003
2.764632872466389e-007	4.342673e-004	1.156714e-003
3.317559446959667e-007	5.211206e-004	1.219073e-003
3.870486021452943e-007	6.079739e-004	1.291736e-003
6.961865403457180e-007	1.093567e-003	1.638640e-003
1.005324478546142e-006	1.579152e-003	1.990066e-003
1.314462416746565e-006	2.064729e-003	2.346013e-003
1.623600354946989e-006	2.550297e-003	2.706484e-003
1.932738293147413e-006	3.035857e-003	3.071476e-003
2.241876231347836e-006	3.521409e-003	3.440991e-003
2.551014169548259e-006	4.006952e-003	3.815027e-003
4.391808831305728e-006	6.897761e-003	6.171805e-003
6.372886050962323e-006	1.000783e-002	8.985006e-003
8.534704355711350e-006	1.339986e-002	1.243486e-002
1.066770098251305e-005	1.674424e-002	1.612426e-002
1.183016124018981e-005	1.856567e-002	1.818704e-002
1.316558226525794e-005	2.065687e-002	2.052320e-002
1.467201560304860e-005	2.301412e-002	2.307068e-002
1.868722815975501e-005	2.928643e-002	2.960398e-002
2.470071223930919e-005	3.864422e-002	3.908389e-002
3.251321223930920e-005	5.071715e-002	5.124044e-002
4.423196223930921e-005	6.858844e-002	6.918236e-002
5.595071223930922e-005	8.630574e-002	8.693532e-002
6.766946223930923e-005	1.033356e-001	1.039972e-001
7.938821223930925e-005	1.196781e-001	1.203680e-001
9.110696223930926e-005	1.353332e-001	1.360478e-001
1.028257122393093e-004	1.503009e-001	1.510365e-001
1.145444622393093e-004	1.645813e-001	1.653342e-001
1.262632122393093e-004	1.781742e-001	1.789408e-001
1.463524979535950e-004	1.993084e-001	2.001052e-001
1.664417836678807e-004	2.167512e-001	2.175791e-001
1.865310693821665e-004	2.305026e-001	2.313625e-001
2.066203550964522e-004	2.405626e-001	2.414553e-001
2.267096408107379e-004	2.469311e-001	2.478576e-001
2.467989265250237e-004	2.496082e-001	2.505694e-001
2.668882122393094e-004	2.485939e-001	2.495906e-001
2.841873193821665e-004	2.439177e-001	2.449450e-001
3.014864265250237e-004	2.366666e-001	2.377245e-001
3.187855336678809e-004	2.268404e-001	2.279289e-001
3.360846408107380e-004	2.144393e-001	2.155583e-001
3.533837479535952e-004	1.994631e-001	2.006126e-001
3.706828550964523e-004	1.819118e-001	1.830920e-001
3.879819622393095e-004	1.617856e-001	1.629963e-001
3.985846408107380e-004	1.485776e-001	1.498036e-001
4.091873193821666e-004	1.348691e-001	1.361148e-001
4.197899979535953e-004	1.206600e-001	1.219297e-001
4.303926765250238e-004	1.059504e-001	1.072485e-001
4.409953550964524e-004	9.074027e-002	9.207105e-002
4.515980336678810e-004	7.502959e-002	7.639743e-002
4.622007122393095e-004	5.881837e-002	6.022761e-002
4.739194622393096e-004	4.078411e-002	4.227944e-002
4.817319622393096e-004	2.863240e-002	3.022899e-002
4.856382122393096e-004	2.252884e-002	2.420424e-002
4.895444622393095e-004	1.641171e-002	1.820222e-002
4.934507122393095e-004	1.028469e-002	1.225354e-002
4.973569622393095e-004	4.151483e-003	6.414924e-003
5.012632122393095e-004	-1.984228e-003	7.987015e-004
5.051694622393095e-004	-8.118745e-003	-4.453797e-003
5.081789658894528e-004	-1.284184e-002	-8.121218e-003
5.111897599175640e-004	-1.756236e-002	-1.139806e-002
5.141371037256909e-004	-2.217732e-002	-1.427253e-002
5.180433537256909e-004	-2.828176e-002	-1.767838e-002
5.219496037256909e-004	-3.436916e-002	-2.068020e-002
5.258558537256909e-004	-4.043587e-002	-2.326480e-002
5.297621037256909e-004	-4.647821e-002	-2.543974e-002
5.336683537256909e-004	-5.249256e-002	-2.721967e-002
5.375746037256909e-004	-5.847529e-002	-2.862417e-002
5.414808537256909e-004	-6.442279e-002	-2.968051e-002
5.453871037256910e-004	-7.033148e-002	-3.041529e-002
5.492933537256910e-004	-7.619782e-002	-3.085115e-002
5.531996037256910e-004	-8.201826e-002	-3.102651e-002
5.571058537256910e-004	-8.778928e-002	-3.098880e-002
5.610121037256910e-004	-9.350743e-002	-3.078120e-002
5.688246037256910e-004	-1.047713e-001	-3.002082e-002
5.766371037256910e-004	-1.157829e-001	-2.902616e-002
5.805433537256910e-004	-1.211856e-001	-2.498774e-002
5.833224766598004e-004	-1.249852e-001	-1.436947e-002
5.834773755878743e-004	-1.251959e-001	-1.200673e-002
5.837871734440218e-004	-1.256169e-001	-6.539809e-003
5.842370694259106e-004	-1.262274e-001	-4.277274e-003
5.846564332477640e-004	-1.267955e-001	-4.433124e-003
5.850950575076945e-004	-1.273888e-001	-4.452687e-003
5.857564463327509e-004	-1.282817e-001	-4.433457e-003
5.864186703852870e-004	-1.291734e-001	-4.472123e-003
5.874489033451820e-004	-1.305562e-001	-4.476879e-003
6.023895657230542e-004	-1.503103e-001	-4.860906e-003
6.173302281009263e-004	-1.683866e-001	-5.211527e-003
6.322708904787984e-004	-1.847851e-001	-5.528742e-003
6.472115528566706e-004	-1.995058e-001	-5.812551e-003
6.621522152345427e-004	-2.125487e-001	-6.062953e-003
6.770928776124148e-004	-2.239137e-001	-6.279949e-003
6.920335399902870e-004	-2.336010e-001	-6.463539e-003
7.160290757045727e-004	-2.441267e-001	-6.665250e-003
7.400246114188584e-004	-2.491926e-001	-6.762493e-003
7.640201471331442e-004	-2.487988e-001	-6.755269e-003
7.880156828474300e-004	-2.429452e-001	-6.643577e-003
8.120112185617157e-004	-2.316319e-001	-6.427417e-003
8.360067542760014e-004	-2.148588e-001	-6.106790e-003
8.600022899902871e-004	-1.926260e-001	-5.681696e-003
8.722790757045728e-004	-1.795447e-001	-5.437230e-003
8.845558614188585e-004	-1.656175e-001	-5.171010e-003
8.968326471331444e-004	-1.508445e-001	-4.883036e-003
9.091094328474301e-004	-1.352257e-001	-4.573308e-003
9.213862185617158e-004	-1.187610e-001	-4.241827e-003
9.336630042760015e-004	-1.014504e-001	-3.888592e-003
9.459397899902872e-004	-8.329406e-002	-3.513604e-003
9.515201471331443e-004	-7.495360e-002	-3.335971e-003
9.571005042760015e-004	-6.654707e-002	-3.138235e-003
9.626808614188586e-004	-5.807448e-002	-2.920396e-003
9.682612185617158e-004	-4.953583e-002	-2.682454e-003
9.738415757045729e-004	-4.093111e-002	-2.424410e-003
9.794219328474300e-004	-3.226034e-002	-2.146262e-003
9.850022899902872e-004	-2.352350e-002	-1.848011e-003
9.889085399902872e-004	-1.740833e-002	-1.595588e-003
9.928147899902872e-004	-1.128267e-002	-1.276240e-003
9.967210399902872e-004	-5.150214e-003	-7.455668e-004
1.000627289990287e-003	9.853423e-004	2.942203e-004
1.004186240451322e-003	6.574973e-003	1.830180e-003
1.007583556788369e-003	1.190772e-002	3.611633e-003
1.011489806788369e-003	1.803247e-002	5.717800e-003
1.015396056788369e-003	2.414637e-002	7.814409e-003
1.019302306788369e-003	3.024572e-002	9.898921e-003
1.023208556788369e-003	3.632685e-002	1.197282e-002
1.027114806788369e-003	4.238610e-002	1.404202e-002
1.031021056788369e-003	4.841982e-002	1.611739e-002
1.034927306788369e-003	5.442437e-002	1.821588e-002
1.038833556788369e-003	6.039613e-002	2.036244e-002
1.042739806788369e-003	6.633152e-002	2.259289e-002
1.046646056788369e-003	7.222696e-002	2.495835e-002
1.050552306788369e-003	7.807888e-002	2.753310e-002
1.054458556788369e-003	8.388378e-002	3.042847e-002
1.058364806788369e-003	8.963814e-002	3.382031e-002
1.062271056788369e-003	9.533851e-002	3.800662e-002
1.066177306788369e-003	1.009815e-001	4.354404e-002
1.070083556788369e-003	1.065636e-001	5.159334e-002
1.073989806788369e-003	1.120815e-001	6.387907e-002
1.075737184585074e-003	1.145282e-001	7.199006e-002
1.075789736146194e-003	1.146015e-001	7.227483e-002
1.075894839268434e-003	1.147482e-001	7.287939e-002
1.076105045512915e-003	1.150415e-001	7.432943e-002
1.076525458001876e-003	1.156274e-001	7.825528e-002
1.076901045659491e-003	1.161501e-001	8.391226e-002
1.077231531770361e-003	1.166096e-001	9.195210e-002
1.077668130118011e-003	1.172158e-001	1.053884e-001
1.077834255331277e-003	1.174462e-001	1.101842e-001
1.077946443176355e-003	1.176018e-001	1.125987e-001
1.078114455800341e-003	1.178346e-001	1.151421e-001
1.078356218801888e-003	1.181694e-001	1.173702e-001
1.078587465828493e-003	1.184894e-001	1.182711e-001
1.078818712855099e-003	1.188091e-001	1.190496e-001
1.079049959881704e-003	1.191285e-001	1.197060e-001
1.079281206908309e-003	1.194478e-001	1.202401e-001
1.079512453934915e-003	1.197667e-001	1.206520e-001
1.079743700961520e-003	1.200855e-001	1.209416e-001
1.079974947988125e-003	1.204039e-001	1.211090e-001
1.094481623787923e-003	1.401802e-001	1.409032e-001
1.108988299587722e-003	1.584506e-001	1.591925e-001
1.123494975387520e-003	1.752151e-001	1.759769e-001
1.138001651187318e-003	1.904737e-001	1.912565e-001
1.152508326987116e-003	2.042264e-001	2.050311e-001
1.167015002786915e-003	2.164732e-001	2.173009e-001
1.181521678586713e-003	2.272141e-001	2.280658e-001
1.207191321443856e-003	2.408538e-001	2.417486e-001
1.232860964300999e-003	2.482421e-001	2.491805e-001
1.258530607158141e-003	2.493790e-001	2.503613e-001
1.284200250015284e-003	2.442644e-001	2.452912e-001
1.309869892872427e-003	2.328984e-001	2.339702e-001
1.335539535729570e-003	2.152809e-001	2.163982e-001
1.361209178586713e-003	1.914121e-001	1.925752e-001
1.373485964300999e-003	1.782208e-001	1.794032e-001
1.385762750015284e-003	1.641930e-001	1.653969e-001
1.398039535729570e-003	1.493285e-001	1.505561e-001
1.410316321443856e-003	1.336274e-001	1.348810e-001
1.422593107158142e-003	1.170896e-001	1.183714e-001
1.434869892872427e-003	9.971524e-002	1.010274e-001
1.447146678586713e-003	8.150423e-002	8.284901e-002
1.451610964300999e-003	7.483032e-002	7.618732e-002
1.456075250015284e-003	6.811086e-002	6.948561e-002
1.460539535729570e-003	6.134585e-002	6.274388e-002
1.465003821443856e-003	5.453529e-002	5.596214e-002
1.469468107158142e-003	4.767918e-002	4.914039e-002
1.473932392872427e-003	4.077752e-002	4.227862e-002
1.478396678586713e-003	3.383031e-002	3.537683e-002
1.482302928586713e-003	2.774125e-002	2.934778e-002
1.486209178586713e-003	2.163547e-002	2.332489e-002
1.490115428586713e-003	1.551667e-002	1.732825e-002
1.494021678586713e-003	9.388518e-003	1.139135e-002
1.497927928586713e-003	3.254710e-003	5.576737e-003
1.501834178586713e-003	-2.881057e-003	6.496826e-006
1.505740428586713e-003	-9.015089e-003	-5.172433e-003
1.508755445072164e-003	-1.374609e-002	-8.769913e-003
1.512018773641560e-003	-1.886111e-002	-1.223160e-002
1.515071448209696e-003	-2.363881e-002	-1.512876e-002
1.518977698209696e-003	-2.973951e-002	-1.843415e-002
1.522883948209696e-003	-3.582229e-002	-2.133584e-002
1.526790198209696e-003	-4.188350e-002	-2.382144e-002
1.530696448209696e-003	-4.791948e-002	-2.590037e-002
1.534602698209696e-003	-5.392659e-002	-2.758858e-002
1.538508948209696e-003	-5.990122e-002	-2.891162e-002
1.542415198209696e-003	-6.583977e-002	-2.989303e-002
1.546321448209696e-003	-7.173865e-002	-3.054938e-002
1.550227698209696e-003	-7.759433e-002	-3.091491e-002
1.554133948209696e-003	-8.340327e-002	-3.103535e-002
1.558040198209696e-003	-8.916196e-002	-3.095308e-002
1.561946448209696e-003	-9.486695e-002	-3.071117e-002
1.569758948209696e-003	-1.061021e-001	-2.990969e-002
1.577571448209696e-003	-1.170816e-001	-2.890130e-002
1.581477698209696e-003	-1.224672e-001	-2.144361e-002
1.583765114253931e-003	-1.255869e-001	-6.742491e-003
1.584048618298117e-003	-1.259718e-001	-5.129518e-003
1.584615626386489e-003	-1.267403e-001	-4.459387e-003
1.585551218698540e-003	-1.280049e-001	-4.426104e-003
1.586550727951099e-003	-1.293509e-001	-4.469994e-003
1.588312635404836e-003	-1.317113e-001	-4.501805e-003
1.603779200813507e-003	-1.520821e-001	-4.896413e-003
1.619245766222177e-003	-1.706311e-001	-5.255133e-003
1.634712331630847e-003	-1.873583e-001	-5.577965e-003
1.650178897039518e-003	-2.022636e-001	-5.864909e-003
1.665645462448188e-003	-2.153471e-001	-6.115965e-003
1.681112027856858e-003	-2.266088e-001	-6.331133e-003
1.696578593265529e-003	-2.360486e-001	-6.510413e-003
1.720016093265529e-003	-2.453551e-001	-6.688804e-003
1.743453593265529e-003	-2.494612e-001	-6.767684e-003
1.766891093265529e-003	-2.483669e-001	-6.747053e-003
1.790328593265529e-003	-2.420720e-001	-6.626910e-003
1.813766093265529e-003	-2.305768e-001	-6.407257e-003
1.837203593265529e-003	-2.138810e-001	-6.088091e-003
1.860641093265529e-003	-1.919848e-001	-5.669415e-003
1.872917878979815e-003	-1.788453e-001	-5.424034e-003
1.885194664694100e-003	-1.648647e-001	-5.156793e-003
1.897471450408386e-003	-1.500432e-001	-4.867691e-003
1.909748236122672e-003	-1.343807e-001	-4.556730e-003
1.922025021836958e-003	-1.178772e-001	-4.223908e-003
1.934301807551243e-003	-1.005327e-001	-3.869226e-003
1.946578593265529e-003	-8.234730e-002	-3.492684e-003
1.951600914694100e-003	-7.483968e-002	-3.329987e-003
1.956623236122672e-003	-6.727654e-002	-3.152118e-003
1.961645557551243e-003	-5.965787e-002	-2.959079e-003
1.966667878979815e-003	-5.198367e-002	-2.750869e-003
1.971690200408386e-003	-4.425395e-002	-2.527488e-003
1.976712521836958e-003	-3.646869e-002	-2.288936e-003
1.981734843265529e-003	-2.862790e-002	-2.035213e-003
1.985641093265529e-003	-2.252433e-002	-1.809292e-003
1.989547343265529e-003	-1.640719e-002	-1.549671e-003
1.993453593265529e-003	-1.028017e-002	-1.210909e-003
1.997359843265529e-003	-4.146958e-003	-6.491307e-004
2.000609628620636e-003	9.576001e-004	2.472425e-004
2.003879593658603e-003	6.093448e-003	1.672787e-003
2.007494377070729e-003	1.176779e-002	3.563831e-003
2.011400627070729e-003	1.789275e-002	5.669522e-003
2.015306877070729e-003	2.400694e-002	7.766419e-003
2.019213127070729e-003	3.010666e-002	9.851221e-003
2.023119377070729e-003	3.618825e-002	1.192525e-002
2.027025627070729e-003	4.224804e-002	1.399439e-002
2.030931877070729e-003	4.828238e-002	1.606937e-002
2.034838127070729e-003	5.428763e-002	1.816699e-002
2.038744377070729e-003	6.026019e-002	2.031199e-002
2.042650627070729e-003	6.619645e-002	2.253987e-002
2.046556877070729e-003	7.209284e-002	2.490136e-002
2.050463127070729e-003	7.794579e-002	2.747001e-002
2.054369377070729e-003	8.375180e-002	3.035611e-002
2.058275627070729e-003	8.950736e-002	3.373342e-002
2.062181877070729e-003	9.520900e-002	3.789606e-002
2.066088127070729e-003	1.008533e-001	4.339174e-002
2.069994377070729e-003	1.064368e-001	5.135963e-002
2.073900627070729e-003	1.119563e-001	6.351473e-002
2.075716904614037e-003	1.144998e-001	7.182339e-002
2.075769765549789e-003	1.145737e-001	7.211010e-002
2.075875487421294e-003	1.147212e-001	7.272575e-002
2.076086931164304e-003	1.150162e-001	7.417718e-002
2.076509818650323e-003	1.156056e-001	7.803964e-002
2.076886924388347e-003	1.161305e-001	8.354656e-002
2.077210650583217e-003	1.165806e-001	9.128543e-002
2.077649514288973e-003	1.171900e-001	1.047587e-001
2.077825749718075e-003	1.174344e-001	1.099012e-001
2.077940782196525e-003	1.175939e-001	1.124265e-001
2.078114167950063e-003	1.178342e-001	1.150798e-001
2.078375627996672e-003	1.181962e-001	1.174826e-001
2.078608661266960e-003	1.185187e-001	1.183561e-001
2.078841694537247e-003	1.188408e-001	1.191133e-001
2.079074727807535e-003	1.191628e-001	1.197541e-001
2.079307761077823e-003	1.194844e-001	1.202786e-001
2.079540794348111e-003	1.198058e-001	1.206866e-001
2.079773827618398e-003	1.201270e-001	1.209782e-001
2.080006860888686e-003	1.204479e-001	1.211535e-001
2.094580153303416e-003	1.403126e-001	1.410360e-001
2.109153445718147e-003	1.586554e-001	1.593977e-001
2.123726738132877e-003	1.754762e-001	1.762384e-001
2.138300030547607e-003	1.907750e-001	1.915581e-001
2.152873322962338e-003	2.045518e-001	2.053570e-001
2.167446615377068e-003	2.168066e-001	2.176349e-001
2.182019907791798e-003	2.275394e-001	2.283919e-001
2.207689550648941e-003	2.410526e-001	2.419482e-001
2.233359193506084e-003	2.483170e-001	2.492562e-001
2.259028836363227e-003	2.493327e-001	2.503159e-001
2.284698479220370e-003	2.440996e-001	2.451273e-001
2.310368122077513e-003	2.326177e-001	2.336904e-001
2.336037764934656e-003	2.148871e-001	2.160052e-001
2.361707407791798e-003	1.909077e-001	1.920717e-001
2.373984193506084e-003	1.776713e-001	1.788546e-001
2.386260979220370e-003	1.636021e-001	1.648069e-001
2.398537764934656e-003	1.487001e-001	1.499287e-001
2.410814550648941e-003	1.329653e-001	1.342199e-001
2.423091336363227e-003	1.163977e-001	1.176806e-001
2.435368122077513e-003	9.899724e-002	1.003108e-001
2.447644907791799e-003	8.076397e-002	8.211045e-002
2.452109193506084e-003	7.408322e-002	7.544194e-002
2.456573479220370e-003	6.735752e-002	6.873425e-002
2.461037764934656e-003	6.058686e-002	6.198737e-002
2.465502050648941e-003	5.377126e-002	5.520130e-002
2.469966336363227e-003	4.691070e-002	4.837604e-002
2.474430622077513e-003	4.000519e-002	4.151159e-002
2.478894907791799e-003	3.305472e-002	3.460796e-002
2.482801157791799e-003	2.696333e-002	2.857894e-002
2.486707407791799e-003	2.085569e-002	2.255797e-002
2.490613657791799e-003	1.473549e-002	1.656659e-002
2.494519907791799e-003	8.606408e-003	1.064107e-002
2.498426157791799e-003	2.472145e-003	4.849486e-003
2.502332407791799e-003	-3.663606e-003	-6.773639e-004
2.506238657791799e-003	-9.797151e-003	-5.788262e-003
2.509276134271338e-003	-1.456267e-002	-9.355921e-003
2.512286670867960e-003	-1.928069e-002	-1.250360e-002
2.515387520515497e-003	-2.413302e-002	-1.541241e-002
2.519293770515497e-003	-3.023241e-002	-1.868447e-002
2.523200020515497e-003	-3.631358e-002	-2.155234e-002
2.527106270515497e-003	-4.237289e-002	-2.400458e-002
2.531012520515497e-003	-4.840666e-002	-2.605121e-002
2.534918770515497e-003	-5.441128e-002	-2.770867e-002
2.538825020515497e-003	-6.038313e-002	-2.900265e-002
2.542731270515497e-003	-6.631859e-002	-2.995701e-002
2.546637520515497e-003	-7.221412e-002	-3.058894e-002
2.550543770515497e-003	-7.806614e-002	-3.093314e-002
2.554450020515497e-003	-8.387114e-002	-3.103559e-002
2.558356270515497e-003	-8.962562e-002	-3.093881e-002
