time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	9.994860e-004
2.643688461304140e-008	8.305393e-004	1.005810e-003
5.287376922608281e-008	1.661078e-003	1.084426e-003
7.931065383912420e-008	2.491618e-003	1.235334e-003
1.057475384521656e-007	3.322157e-003	1.458533e-003
1.321844230652070e-007	4.152696e-003	1.754024e-003
1.586213076782484e-007	4.983234e-003	2.121807e-003
1.850581922912898e-007	5.813773e-003	2.561881e-003
2.483070474652032e-007	7.800793e-003	3.782162e-003
3.560790621576836e-007	1.118654e-002	6.132342e-003
4.687715675706678e-007	1.472687e-002	8.691425e-003
5.964391974169296e-007	1.873765e-002	1.158532e-002
7.436687566353338e-007	2.336296e-002	1.490261e-002
1.035033682855890e-006	3.251631e-002	2.158298e-002
1.500098816810684e-006	4.712630e-002	3.287962e-002
2.071026321463010e-006	6.506138e-002	4.848957e-002
2.579786168900426e-006	8.104283e-002	6.512911e-002
3.161217343674542e-006	9.930604e-002	8.706882e-002
3.472027822418571e-006	1.090683e-001	9.927537e-002
3.720436842512132e-006	1.168703e-001	1.086578e-001
4.039130802330532e-006	1.268794e-001	1.199616e-001
4.805428811550939e-006	1.509441e-001	1.453176e-001
6.411031726009397e-006	2.013540e-001	1.963769e-001
9.479691229592067e-006	2.976372e-001	2.931397e-001
1.591238808369772e-005	4.990700e-001	4.949343e-001
2.763113808369772e-005	8.637037e-001	8.597969e-001
3.711774522655487e-005	1.158021e+000	1.154201e+000
4.660435236941203e-005	1.445739e+000	1.442011e+000
5.609095951226917e-005	1.726860e+000	1.723228e+000
6.557756665512633e-005	2.001381e+000	1.997852e+000
7.506417379798348e-005	2.269304e+000	2.265882e+000
8.455078094084064e-005	2.530628e+000	2.527319e+000
9.403738808369777e-005	2.785354e+000	2.782162e+000
1.096623880836978e-004	3.186324e+000	3.183374e+000
1.252873880836978e-004	3.548970e+000	3.546288e+000
1.409123880836978e-004	3.873290e+000	3.870905e+000
1.565373880836979e-004	4.159284e+000	4.157225e+000
1.721623880836979e-004	4.406953e+000	4.405247e+000
1.877873880836979e-004	4.616297e+000	4.614972e+000
2.034123880836979e-004	4.787315e+000	4.786400e+000
2.262918523694122e-004	4.939337e+000	4.939073e+000
2.491713166551265e-004	4.992724e+000	4.993106e+000
2.720507809408408e-004	4.947476e+000	4.948499e+000
2.949302452265551e-004	4.803594e+000	4.805252e+000
3.178097095122694e-004	4.561078e+000	4.563365e+000
3.406891737979837e-004	4.219927e+000	4.222838e+000
3.635686380836980e-004	3.780141e+000	3.783671e+000
3.752873880836980e-004	3.525138e+000	3.528952e+000
3.870061380836980e-004	3.254936e+000	3.259021e+000
3.987248880836980e-004	2.969536e+000	2.973876e+000
4.104436380836981e-004	2.668936e+000	2.673518e+000
4.221623880836981e-004	2.353138e+000	2.357948e+000
4.338811380836981e-004	2.022141e+000	2.027164e+000
4.455998880836981e-004	1.675946e+000	1.681167e+000
4.511802452265552e-004	1.509256e+000	1.514552e+000
4.567606023694124e-004	1.341231e+000	1.346616e+000
4.623409595122696e-004	1.171873e+000	1.177359e+000
4.679213166551267e-004	1.001181e+000	1.006781e+000
4.735016737979838e-004	8.291546e-001	8.348813e-001
4.790820309408410e-004	6.557942e-001	6.616608e-001
4.846623880836981e-004	4.810998e-001	4.871191e-001
4.885686380836981e-004	3.588181e-001	3.650475e-001
4.924748880836981e-004	2.363203e-001	2.429586e-001
4.963811380836981e-004	1.136801e-001	1.213220e-001
4.984618581270647e-004	4.832140e-002	5.743233e-002
4.998061701773777e-004	6.089342e-003	1.753677e-002
5.008159558864665e-004	-2.563390e-002	-1.045626e-002
5.016876986484246e-004	-5.301962e-002	-3.197734e-002
5.025099483184826e-004	-7.884908e-002	-4.914993e-002
5.032987682903630e-004	-1.036264e-001	-6.202718e-002
5.042814789979153e-004	-1.344904e-001	-7.253128e-002
5.053096740723862e-004	-1.667774e-001	-7.666904e-002
5.065151459051549e-004	-2.046222e-001	-7.485521e-002
5.077746179458277e-004	-2.441497e-001	-7.018197e-002
5.091471851515201e-004	-2.872091e-001	-6.543162e-002
