X--Trace 1::[V(1) | V(Input)],Y--Trace 1::[V(1) | V(Input)],,X--Trace 2::[V(2) | V(Output)],Y--Trace 2::[V(2) | V(Output)]
0.002011544,0.181167145,,0.002011544,0.180215302
0.002025715,0.402182663,,0.002025715,0.371198192
0.002041661,0.646966001,,0.002041661,0.45752123
0.002057958,0.890414941,,0.002057958,0.49268458
0.002080619,1.212896211,,0.002080619,0.51909535
0.002104188,1.522165896,,0.002104188,0.535806773
0.002135438,1.879817527,,0.002135438,0.54998376
0.002166688,2.165228825,,0.002166688,0.558949572
0.002197938,2.367431593,,0.002197938,0.56443652
0.002229188,2.478655293,,0.002229188,0.567211212
0.002260438,2.49462566,,0.002260438,0.567597112
0.002291688,2.414728961,,0.002291688,0.565635994
0.002322938,2.242035583,,0.002322938,0.561107132
0.002354188,1.983182035,,0.002354188,0.553421425
0.002385438,1.648115914,,0.002385438,0.541267985
0.002416688,1.249713622,,0.002416688,0.521405833
0.002447938,0.803285537,,0.002447938,0.482503574
0.002479188,0.325987638,,0.002479188,0.31650703
0.002510438,-0.163837782,,0.002510438,-0.163039719
0.002524946,-0.390256015,,0.002524946,-0.363750378
0.002540463,-0.628759349,,0.002540463,-0.45374949
0.002556886,-0.874654996,,0.002556886,-0.490978414
0.002578276,-1.180578933,,0.002578276,-0.516982902
0.002601025,-1.48245379,,0.002601025,-0.533948795
0.002632275,-1.846693512,,0.002632275,-0.54882925
0.002663525,-2.139965839,,0.002663525,-0.558218779
0.002694775,-2.351000479,,0.002694775,-0.564012914
0.002726025,-2.471687489,,0.002726025,-0.567041933
0.002757275,-2.497388934,,0.002757275,-0.567663542
0.002788525,-2.427117124,,0.002788525,-0.56594528
0.002819775,-2.263572564,,0.002819775,-0.561695391
0.002851025,-2.013040179,,0.002851025,-0.554371919
0.002882275,-1.685147789,,0.002882275,-0.542767906
0.002913525,-1.292496115,,0.002913525,-0.523956615
0.002944775,-0.85017454,,0.002944775,-0.488229684
0.002976025,-0.375181234,,0.002976025,-0.353992594
0.003007275,0.114230076,,0.003007275,0.113651213
0.003022871,0.358027683,,0.003022871,0.341356613
0.003038168,0.593815655,,0.003038168,0.445788824
0.003055202,0.84982458,,0.003055202,0.488181789
0.003083504,1.252320877,,0.003083504,0.521559168
0.003112523,1.623890419,,0.003112523,0.540259274
0.003143773,1.963512387,,0.003143773,0.552787064
0.003175023,2.227677676,,0.003175023,0.560710724
0.003206273,2.40623456,,0.003206273,0.565422525
0.003237523,2.4923212,,0.003237523,0.567541549
0.003268773,2.482629334,,0.003268773,0.56730763
0.003300023,2.377531415,,0.003300023,0.564695376
0.003331273,2.181066297,,0.003331273,0.559402384
0.003362523,1.900784025,,0.003362523,0.550698854
0.003393773,1.547455688,,0.003393773,0.536945638
0.003425023,1.134659497,,0.003425023,0.513833002
0.003456273,0.678258978,,0.003456273,0.463481139
0.003487523,0.195793346,,0.003487523,0.195365491
0.003518773,-0.294196513,,0.003518773,-0.288519939
0.003532571,-0.508064618,,0.003532571,-0.420699605
0.0035503,-0.777016031,,0.0035503,-0.479003361
0.003571273,-1.082508129,,0.003571273,-0.50998706
0.003596715,-1.427410818,,0.003596715,-0.531242632
0.003627965,-1.800394149,,0.003627965,-0.547172564
0.003659215,-2.104189342,,0.003659215,-0.55716496
0.003690465,-2.327121719,,0.003690465,-0.563390648
0.003721715,-2.460624113,,0.003721715,-0.566771979
0.003752965,-2.499566103,,0.003752965,-0.56771578
0.003784215,-2.442451169,,0.003784215,-0.566325449
0.003815465,-2.291474206,,0.003815465,-0.562447082
0.003846715,-2.052437175,,0.003846715,-0.555598596
0.003877965,-1.734526134,,0.003877965,-0.544699659
0.003909215,-1.349958226,,0.003909215,-0.527191591
0.003940465,-0.913512181,,0.003940465,-0.495105553
0.003971715,-0.441960375,,0.003971715,-0.393234502
0.004,-2.44929E-15,,0.004,-0.000451704
