X--Trace 1::[V(1) | V(Input)],Y--Trace 1::[V(1) | V(Input)],,X--Trace 2::[V(2) | V(Output)],Y--Trace 2::[V(2) | V(Output)]
0.002029628,0.185083294,,0.002029628,0.680909259
0.002060878,0.373246685,,0.002060878,0.867458655
0.002092128,0.547066416,,0.002092128,1.039291186
0.002123378,0.699862691,,0.002123378,1.189764649
0.002154628,0.825763635,,0.002154628,1.313057738
0.002185878,0.919930945,,0.002185878,1.404393759
0.002217128,0.978745826,,0.002217128,1.460224193
0.002248378,0.999948053,,0.002248378,1.478365064
0.002279628,0.982722837,,0.002279628,1.458080871
0.002310878,0.927732134,,0.002310878,1.400112848
0.002342128,0.837089205,,0.002342128,1.306650481
0.002373378,0.714277407,,0.002373378,1.181247369
0.002404628,0.564016329,,0.002404628,1.028684656
0.002435878,0.39208042,,0.002435878,0.854787298
0.002467128,0.205077081,,0.002467128,0.666200212
0.002498378,0.010192744,,0.002498378,0.470132911
0.002529628,-0.185083294,,0.002529628,0.274082451
0.002560878,-0.373246685,,0.002560878,0.085545336
0.002592128,-0.547066416,,0.002592128,-0.088269858
0.002623378,-0.699862691,,0.002623378,-0.240701358
0.002654628,-0.825763635,,0.002654628,-0.365664797
0.002685878,-0.919930945,,0.002685878,-0.456748418
0.002717128,-0.978745826,,0.002717128,-0.507014673
0.002748378,-0.999948053,,0.002748378,-0.514930347
0.002779628,-0.982722837,,0.002779628,-0.48641588
0.002810878,-0.927732134,,0.002810878,-0.425836637
0.002842128,-0.837089205,,0.002842128,-0.333248538
0.002873378,-0.714277407,,0.002873378,-0.209718172
0.002904628,-0.564016329,,0.002904628,-0.059167314
0.002935878,-0.39208042,,0.002935878,0.112711891
0.002967128,-0.205077081,,0.002967128,0.299284727
0.002998378,-0.010192744,,0.002998378,0.493342121
0.003029628,0.185083294,,0.003029628,0.687387024
0.003060878,0.373246685,,0.003060878,0.87392294
0.003092128,0.547066416,,0.003092128,1.04574202
0.003123378,0.699862691,,0.003123378,1.196202059
0.003154628,0.825763635,,0.003154628,1.319481751
0.003185878,0.919930945,,0.003185878,1.410804403
0.003217128,0.978745826,,0.003217128,1.466621496
0.003248378,0.999948053,,0.003248378,1.484749054
0.003279628,0.982722837,,0.003279628,1.464451574
0.003310878,0.927732134,,0.003310878,1.406470292
0.003342128,0.837089205,,0.003342128,1.312994694
0.003373378,0.714277407,,0.003373378,1.187578378
0.003404628,0.564016329,,0.003404628,1.035002488
0.003435878,0.39208042,,0.003435878,0.86109198
0.003467128,0.205077081,,0.003467128,0.672491771
0.003498378,0.010192744,,0.003498378,0.476411374
0.003529628,-0.185083294,,0.003529628,0.280347844
0.003560878,-0.373246685,,0.003560878,0.091797684
0.003592128,-0.547066416,,0.003592128,-0.082030625
0.003623378,-0.699862691,,0.003623378,-0.23447772
0.003654628,-0.825763635,,0.003654628,-0.359491327
0.003685878,-0.919930945,,0.003685878,-0.450849283
0.003717128,-0.978745826,,0.003717128,-0.501923983
0.003748378,-0.999948053,,0.003748378,-0.510951481
0.003779628,-0.982722837,,0.003779628,-0.483213527
0.003810878,-0.927732134,,0.003810878,-0.422937273
0.003842128,-0.837089205,,0.003842128,-0.330423446
0.003873378,-0.714277407,,0.003873378,-0.206907865
0.003904628,-0.564016329,,0.003904628,-0.056363489
0.003935878,-0.39208042,,0.003935878,0.115509857
0.003967128,-0.205077081,,0.003967128,0.302076871
0.003982753,-0.108155712,,0.003982753,0.398632634
0.004,-9.79717E-16,,0.004,0.506267411
