X--Trace 1::[-I(V_DS1:1) | I(PR1)],Y--Trace 1::[-I(V_DS1:1) | I(PR1)]
0,-6.92339E-50
0.1,0.012476901
0.2,0.024324138
0.3,0.035524828
0.4,0.046061367
0.5,0.05591532
0.6,0.065067384
0.7,0.073497328
0.8,0.081183929
0.9,0.088104905
1,0.094236839
1.1,0.099555092
1.2,0.10403372
1.3,0.107645367
1.4,0.11036116
1.5,0.112150586
1.6,0.112981361
1.7,0.113039359
1.8,0.113039359
1.9,0.113039359
2,0.113039359
2.1,0.113039359
2.2,0.113039359
2.3,0.113039359
2.4,0.113039359
2.5,0.113039359
2.6,0.113039359
2.7,0.113039359
2.8,0.113039359
2.9,0.113039359
3,0.113039359
3.1,0.113039359
3.2,0.113039359
3.3,0.113039359
3.4,0.113039359
3.5,0.113039359
3.6,0.113039359
3.7,0.113039359
3.8,0.113039359
3.9,0.113039359
4,0.113039359
4.1,0.113039359
4.2,0.113039359
4.3,0.113039359
4.4,0.113039359
4.5,0.113039359
4.6,0.113039359
4.7,0.113039359
4.8,0.113039359
4.9,0.113039359
5,0.113039359
