X--Trace 1::[I(Q1:D) | I(I_D)],Y--Trace 1::[I(Q1:D) | I(I_D)],,X--Trace 2::[V(2) - V(4) | V(V_DS)],Y--Trace 2::[V(2) - V(4) | V(V_DS)],,X--Trace 3::[V(6) - V(4) | V(V_GS)],Y--Trace 3::[V(6) - V(4) | V(V_GS)]
0,0.001010008,,0,16.29217789,,0,2.141594247
3.125E-07,0.001010139,,3.125E-07,16.29207577,,3.125E-07,2.141603904
5.92065E-07,0.001010263,,5.92065E-07,16.29197931,,5.92065E-07,2.14161264
1.15119E-06,0.001010513,,1.15119E-06,16.2917857,,1.15119E-06,2.141630122
2.26945E-06,0.001011012,,2.26945E-06,16.29139826,,2.26945E-06,2.141665083
4.38248E-06,0.001011955,,4.38248E-06,16.29066669,,4.38248E-06,2.14173109
8.60852E-06,0.001013838,,8.60852E-06,16.28920617,,8.60852E-06,2.141862838
1.70606E-05,0.00101759,,1.70606E-05,16.2862947,,1.70606E-05,2.14212512
3.39648E-05,0.00102501,,3.39648E-05,16.28053425,,3.39648E-05,2.142642431
6.52148E-05,0.001038184,,6.52148E-05,16.27029967,,6.52148E-05,2.143556311
9.49023E-05,0.001049647,,9.49023E-05,16.26138585,,9.49023E-05,2.14434675
0.000126152,0.001060137,,0.000126152,16.2532191,,0.000126152,2.145066253
0.000157402,0.001068584,,0.000157402,16.24662969,,0.000157402,2.145643114
0.000188652,0.001074642,,0.000188652,16.24188906,,0.000188652,2.146055387
0.000219902,0.001078059,,0.000219902,16.23919342,,0.000219902,2.146287325
0.000251152,0.001078691,,0.000251152,16.23865757,,0.000251152,2.146330127
0.000282402,0.001076514,,0.000282402,16.24030265,,0.000282402,2.146182277
0.000313652,0.00107162,,0.000313652,16.24405556,,0.000313652,2.145849548
0.000344902,0.001064219,,0.000344902,16.24975857,,0.000344902,2.145344831
0.000376152,0.001054618,,0.000376152,16.25717287,,0.000376152,2.144687603
0.000407402,0.001043217,,0.000407402,16.26599145,,0.000407402,2.143903192
0.000438652,0.001030479,,0.000438652,16.27585474,,0.000438652,2.143021789
0.000469902,0.001016916,,0.000469902,16.28636693,,0.000469902,2.142077302
0.000501152,0.001003062,,0.000501152,16.29711416,,0.000501152,2.141106046
0.000532402,0.000989452,,0.000532402,16.3076813,,0.000532402,2.140145365
0.000563652,0.000976601,,0.000563652,16.31766869,,0.000563652,2.139232193
0.000594902,0.000964986,,0.000594902,16.32670582,,0.000594902,2.138401653
0.000626152,0.000955029,,0.000626152,16.33446408,,0.000626152,2.1376857
0.000657402,0.000947085,,0.000657402,16.34066586,,0.000657402,2.137111907
0.000688652,0.000941436,,0.000688652,16.34509254,,0.000688652,2.136702397
0.000719902,0.000938278,,0.000719902,16.3475893,,0.000719902,2.136472998
0.000751152,0.000937722,,0.000751152,16.34806913,,0.000751152,2.136432625
0.000782402,0.000939788,,0.000782402,16.34651422,,0.000782402,2.136582933
0.000813652,0.000944406,,0.000813652,16.34297695,,0.000813652,2.136918246
0.000844902,0.000951419,,0.000844902,16.33757839,,0.000844902,2.137425771
0.000876152,0.000960581,,0.000876152,16.33050635,,0.000876152,2.138086077
0.000907402,0.00097157,,0.000907402,16.32201052,,0.000907402,2.138873851
0.000938652,0.000983991,,0.000938652,16.31239668,,0.000938652,2.139758855
0.000969902,0.000997386,,0.000969902,16.30201752,,0.000969902,2.140707107
0.001001152,0.001011256,,0.001001152,16.29126206,,0.001001152,2.141682175
0.001032402,0.001025068,,0.001032402,16.2805416,,0.001032402,2.142646598
0.001063652,0.001038284,,0.001063652,16.27027467,,0.001063652,2.14356332
0.001094902,0.001050379,,0.001094902,16.26086934,,0.001094902,2.144397133
0.001126152,0.001060863,,0.001126152,16.25270594,,0.001126152,2.145116023
0.001157402,0.001069307,,0.001157402,16.2461189,,0.001157402,2.145692414
0.001188652,0.00107536,,0.001188652,16.24138059,,0.001188652,2.146104205
0.001219902,0.001078773,,0.001219902,16.23868807,,0.001219902,2.146335741
