X--Trace 2::[V(3) | V(Vin)],Y--Trace 2::[V(3) | V(Vin)],,X--Trace 3::[V(2) | V(Vout)],Y--Trace 3::[V(2) | V(Vout)]
15.00000573,0.000361604,,15.00000573,0.000361779
15.00003698,0.002294571,,15.00003698,0.001959586
15.00006823,0.004139358,,15.00006823,0.003482514
15.00009948,0.005825072,,15.00009948,0.004871919
15.00013073,0.007286932,,15.00013073,0.006074236
15.00016198,0.008468763,,15.00016198,0.007043085
15.00019323,0.009325145,,15.00019323,0.007741039
15.00022448,0.009823157,,15.00022448,0.008141128
15.00025573,0.009943675,,15.00025573,0.008227897
15.00028698,0.009682062,,15.00028698,0.007997979
15.00031823,0.009048376,,15.00031823,0.007460289
15.00034948,0.008066966,,15.00034948,0.006635593
15.00038073,0.006775546,,15.00038073,0.005555747
15.00041198,0.005223746,,15.00041198,0.004262438
15.00044323,0.0034712,,15.00044323,0.002805548
15.00047448,0.001585258,,15.00047448,0.001241214
15.00050573,-0.000361605,,15.00050573,-0.000370355
15.00053698,-0.002294571,,15.00053698,-0.001967202
15.00056823,-0.004139359,,15.00056823,-0.003488013
15.00059948,-0.005825073,,15.00059948,-0.004874463
15.00063073,-0.007286933,,15.00063073,-0.00607344
15.00066198,-0.00846876,,15.00066198,-0.007039058
15.00069323,-0.009325137,,15.00069323,-0.007734399
15.00072448,-0.009823155,,15.00072448,-0.008132891
15.00075573,-0.009943675,,15.00075573,-0.008219316
15.00078698,-0.009682064,,15.00078698,-0.00799037
15.00081823,-0.009048377,,15.00081823,-0.007454797
15.00084948,-0.008066966,,15.00084948,-0.006633055
15.00088073,-0.006775547,,15.00088073,-0.005556551
15.00091198,-0.005223746,,15.00091198,-0.004266461
15.00094323,-0.003471201,,15.00094323,-0.002812178
15.00097448,-0.001585259,,15.00097448,-0.001249442
15.00100573,0.000361604,,15.00100573,0.000361779
15.00103698,0.002294571,,15.00103698,0.001959586
15.00106823,0.004139358,,15.00106823,0.003482514
15.00109948,0.005825072,,15.00109948,0.004871919
15.00113073,0.007286932,,15.00113073,0.006074236
15.00116198,0.008468763,,15.00116198,0.007043085
15.00119323,0.009325145,,15.00119323,0.007741039
15.00122448,0.009823157,,15.00122448,0.008141128
15.00125573,0.009943675,,15.00125573,0.008227897
15.00128698,0.009682062,,15.00128698,0.007997979
15.00131823,0.009048376,,15.00131823,0.007460289
15.00134948,0.008066966,,15.00134948,0.006635593
15.00138073,0.006775546,,15.00138073,0.005555747
15.00141198,0.005223746,,15.00141198,0.004262438
15.00144323,0.0034712,,15.00144323,0.002805548
15.00147448,0.001585258,,15.00147448,0.001241214
15.00150573,-0.000361605,,15.00150573,-0.000370355
15.00153698,-0.002294571,,15.00153698,-0.001967202
15.00156823,-0.004139359,,15.00156823,-0.003488013
15.00159948,-0.005825073,,15.00159948,-0.004874463
15.00163073,-0.007286933,,15.00163073,-0.00607344
15.00166198,-0.00846876,,15.00166198,-0.007039058
15.00169323,-0.009325137,,15.00169323,-0.007734399
15.00172448,-0.009823155,,15.00172448,-0.008132891
15.00175573,-0.009943675,,15.00175573,-0.008219316
15.00178698,-0.009682064,,15.00178698,-0.00799037
15.00181823,-0.009048377,,15.00181823,-0.007454797
15.00184948,-0.008066966,,15.00184948,-0.006633055
15.00188073,-0.006775547,,15.00188073,-0.005556551
15.00191198,-0.005223746,,15.00191198,-0.004266461
15.00194323,-0.003471201,,15.00194323,-0.002812178
15.00197448,-0.001585259,,15.00197448,-0.001249442
15.00200573,0.000361604,,15.00200573,0.000361779
15.00203698,0.002294571,,15.00203698,0.001959586
15.00206823,0.004139358,,15.00206823,0.003482514
15.00209948,0.005825072,,15.00209948,0.004871919
15.00213073,0.007286932,,15.00213073,0.006074236
15.00216198,0.008468763,,15.00216198,0.007043085
15.00219323,0.009325145,,15.00219323,0.007741039
15.00222448,0.009823157,,15.00222448,0.008141128
15.00225573,0.009943675,,15.00225573,0.008227897
15.00228698,0.009682062,,15.00228698,0.007997979
15.00231823,0.009048376,,15.00231823,0.007460289
15.00234948,0.008066966,,15.00234948,0.006635593
15.00238073,0.006775546,,15.00238073,0.005555747
15.00241198,0.005223746,,15.00241198,0.004262438
15.00244323,0.0034712,,15.00244323,0.002805548
15.00247448,0.001585258,,15.00247448,0.001241214
15.00250573,-0.000361605,,15.00250573,-0.000370355
15.00253698,-0.002294571,,15.00253698,-0.001967202
15.00256823,-0.004139359,,15.00256823,-0.003488013
15.00259948,-0.005825073,,15.00259948,-0.004874463
15.00263073,-0.007286933,,15.00263073,-0.00607344
15.00266198,-0.00846876,,15.00266198,-0.007039058
15.00269323,-0.009325137,,15.00269323,-0.007734399
15.00272448,-0.009823155,,15.00272448,-0.008132891
15.00275573,-0.009943675,,15.00275573,-0.008219316
15.00278698,-0.009682064,,15.00278698,-0.00799037
15.00281823,-0.009048377,,15.00281823,-0.007454797
15.00284948,-0.008066966,,15.00284948,-0.006633055
15.00288073,-0.006775547,,15.00288073,-0.005556551
15.00291198,-0.005223747,,15.00291198,-0.004266461
15.00294323,-0.003471201,,15.00294323,-0.002812178
15.00297448,-0.001585259,,15.00297448,-0.001249442
15.003,3.31691E-06,,15.003,6.54065E-05
