X--Trace 1::[I(Q1:B) | I(Ib)],Y--Trace 1::[I(Q1:B) | I(Ib)],,X--Trace 2::[I(Q1:C) | I(Ic)],Y--Trace 2::[I(Q1:C) | I(Ic)],,X--Trace 3::[V(1) | V(Vb)],Y--Trace 3::[V(1) | V(Vb)]
0,0.008177495,,0,-0.006577216,,0,0.8
0.1,0.003621969,,0.1,0.025396563,,0.1,0.8
0.2,0.001176794,,0.2,0.059207663,,0.2,0.8
0.3,0.00062915,,0.3,0.069351085,,0.3,0.8
0.4,0.000608169,,0.4,0.069853207,,0.4,0.8
0.5,0.00060772,,0.5,0.069957058,,0.5,0.8
0.6,0.000607708,,0.6,0.070051879,,0.6,0.8
0.7,0.000607708,,0.7,0.070146758,,0.7,0.8
0.8,0.000607708,,0.8,0.070241633,,0.8,0.8
0.9,0.000607708,,0.9,0.070336507,,0.9,0.8
1,0.000607708,,1,0.070431382,,1,0.8
1.1,0.000607708,,1.1,0.070526257,,1.1,0.8
1.2,0.000607708,,1.2,0.070621132,,1.2,0.8
1.3,0.000607708,,1.3,0.070716007,,1.3,0.8
1.4,0.000607708,,1.4,0.070810882,,1.4,0.8
1.5,0.000607708,,1.5,0.070905757,,1.5,0.8
1.6,0.000607708,,1.6,0.071000632,,1.6,0.8
1.7,0.000607708,,1.7,0.071095506,,1.7,0.8
1.8,0.000607708,,1.8,0.071190381,,1.8,0.8
1.9,0.000607708,,1.9,0.071285256,,1.9,0.8
2,0.000607708,,2,0.071380131,,2,0.8
