X--Trace 1::[V(3) | V(Vi)],Y--Trace 1::[V(3) | V(Vi)],,X--Trace 2::[V(8) | V(Vo)],Y--Trace 2::[V(8) | V(Vo)],,X--Trace 3::[V(1) | V(Vsig)],Y--Trace 3::[V(1) | V(Vsig)],,X--Trace 4::[I(Q1:B) | I(Ib)],Y--Trace 4::[I(Q1:B) | I(Ib)],,X--Trace 5::[I(Q1:C) | I(Ic)],Y--Trace 5::[I(Q1:C) | I(Ic)],,X--Trace 6::[-I(Q1:E) | I(Ie)],Y--Trace 6::[-I(Q1:E) | I(Ie)],,X--Trace 7::[V(6) | V(Vc)],Y--Trace 7::[V(6) | V(Vc)],,X--Trace 8::[V(5) | V(Ve)],Y--Trace 8::[V(5) | V(Ve)]
0.10500875,-0.070584546,,0.10500875,-0.173111672,,0.10500875,0.000549502,,0.10500875,7.35873E-06,,0.10500875,0.001025708,,0.10500875,0.001033067,,0.10500875,4.157029061,,0.10500875,-0.73557878
0.10504,-0.06868046,,0.10504,-0.535417205,,0.10504,0.002486899,,0.10504,7.82621E-06,,0.10504,0.001095639,,0.10504,0.001103466,,0.10504,3.794699973,,0.10504,-0.735532993
0.10507125,-0.066871386,,0.10507125,-0.889928671,,0.10507125,0.004328726,,0.10507125,8.28344E-06,,0.10507125,0.001164077,,0.10507125,0.00117236,,0.10507125,3.440141122,,0.10507125,-0.735440907
0.1051025,-0.065226521,,0.1051025,-1.217757515,,0.1051025,0.006004202,,0.1051025,8.70619E-06,,0.1051025,0.001227373,,0.1051025,0.001236079,,0.1051025,3.112242209,,0.1051025,-0.73530475
0.10513375,-0.063808612,,0.10513375,-1.499586583,,0.10513375,0.007448941,,0.10513375,9.06876E-06,,0.10513375,0.001281796,,0.10513375,0.001290865,,0.10513375,2.830322803,,0.10513375,-0.735129217
0.105165,-0.062671678,,0.105165,-1.717551493,,0.105165,0.00860742,,0.105165,9.3478E-06,,0.105165,0.001323895,,0.105165,0.001333243,,0.105165,2.612250941,,0.105165,-0.734921405
0.10519625,-0.06185897,,0.10519625,-1.857222042,,0.10519625,0.009435122,,0.10519625,9.52388E-06,,0.10519625,0.001350881,,0.10519625,0.001360405,,0.10519625,2.472461549,,0.10519625,-0.734690499
0.1052275,-0.061401452,,0.1052275,-1.909239661,,0.1052275,0.009900237,,0.1052275,9.58507E-06,,0.1052275,0.001360943,,0.1052275,0.001370528,,0.1052275,2.420318715,,0.1052275,-0.734447219
0.10525875,-0.061316608,,0.10525875,-1.870417318,,0.10525875,0.009984891,,0.10525875,9.52734E-06,,0.10525875,0.001353465,,0.10525875,0.001362992,,0.10525875,2.459015405,,0.10525875,-0.734203094
0.10529,-0.061607841,,0.10529,-1.744017521,,0.10529,0.009685832,,0.10529,9.35608E-06,,0.10529,0.001329075,,0.10529,0.001338431,,0.10529,2.585295041,,0.10529,-0.73396965
0.10532125,-0.062264254,,0.10532125,-1.5392796,,0.10532125,0.009014551,,0.10532125,9.08401E-06,,0.10532125,0.001289557,,0.10532125,0.001298641,,0.10532125,2.78992381,,0.10532125,-0.733757604
0.1053525,-0.063261059,,0.1053525,-1.270206329,,0.1053525,0.007996847,,0.1053525,8.73058E-06,,0.1053525,0.001237616,,0.1053525,0.001246346,,0.1053525,3.058903681,,0.1053525,-0.733576169
0.10538375,-0.064560396,,0.10538375,-0.953939464,,0.10538375,0.006671828,,0.10538375,8.31836E-06,,0.10538375,0.001176562,,0.10538375,0.001184881,,0.10538375,3.375096605,,0.10538375,-0.733432547
0.105415,-0.066112761,,0.105415,-0.608912754,,0.105415,0.005090414,,0.105415,7.8717E-06,,0.105415,0.001109957,,0.105415,0.001117829,,0.105415,3.720071358,,0.105415,-0.733331643
0.10544625,-0.067858785,,0.10544625,-0.253168083,,0.10544625,0.003313379,,0.10544625,7.41344E-06,,0.10544625,0.001041285,,0.10544625,0.001048698,,0.10544625,4.07578737,,0.10544625,-0.733276003
0.1054775,-0.069731543,,0.1054775,0.097006228,,0.1054775,0.001409012,,0.1054775,6.96432E-06,,0.1054775,0.000973686,,0.1054775,0.00098065,,0.1054775,4.425956489,,0.1054775,-0.73326596
0.10550875,-0.071659041,,0.10550875,0.428050429,,0.10550875,-0.000549502,,0.10550875,6.54097E-06,,0.10550875,0.000909793,,0.10550875,0.000916334,,0.10550875,4.757018146,,0.10550875,-0.733299914
0.10554,-0.073567078,,0.10554,0.729299129,,0.10554,-0.002486899,,0.10554,6.15671E-06,,0.10554,0.00085165,,0.10554,0.000857807,,0.10554,5.058305321,,0.10554,-0.733374706
